question_id,answer_id,review_priority,candidate_type,teacher_score,reference_score_key,reference_score,teacher_minus_reference,absolute_difference,candidate_threshold,centered_residual,outlier_threshold,candidate_reasons,question_median_residual,question_systematic_bias,max_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,route,std_dev,extraction_quality,U_E,U_S,U_R,confounds,human_decision,corrected_score,review_note,raw_text,student_image
CO_1,ANS_CO_118,P2,possible_teacher_under_score,2.0,three_way_core_score,3.5,-1.5,1.5,1.0,-1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.5,3.5,3.5,3.5,BND,0.0,high,0.3,0.0,0.3,,,,,"∵ I=1 ∴ A=110111为操作数的储存地址 
∴ 十进制数为 34H",data/csbench/student_images/CO_1/ANS_CO_118.png
CO_1,ANS_CO_15,P2,possible_teacher_over_score,5.0,three_way_core_score,3.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.5,3.5,3.5,3.5,POS,0.0,high,0.0,0.0,0.1,,,,,"11011110
I=1  A=110111 = 37(十进制)
内存为 34(十六进制)为真正地址
操作数内容为 37(十进制)",data/csbench/student_images/CO_1/ANS_CO_15.jpg
CO_1,ANS_CO_24,P2,possible_teacher_under_score,2.0,three_way_core_score,3.5,-1.5,1.5,1.0,-1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.5,3.5,3.5,3.5,POS,0.0,high,0.0,0.0,0.1,,,,,"显然，间址位为1，地址字段110111=37H
有其地址内存存储内容为 34H
故访问的操作数内存为 34H",data/csbench/student_images/CO_1/ANS_CO_24.jpg
CO_1,ANS_CO_28,P2,possible_teacher_over_score,5.0,three_way_core_score,3.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.5,3.5,3.5,3.5,POS,0.0,high,0.0,0.0,0.1,,,,,"解. 11011110
I=1为间接寻址.
地址字段为110111对应十六进制37
因为是间接寻址.37地址中存放的是操作数地址34
所以操作数为34",data/csbench/student_images/CO_1/ANS_CO_28.jpg
CO_1,ANS_CO_77,P2,possible_teacher_under_score,2.0,three_way_core_score,3.5,-1.5,1.5,1.0,-1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.5,3.5,3.5,3.5,POS,0.0,high,0.0,0.0,0.1,,,,,"I=1. 间址 A=110111 B=37H
指向内存34H
没指定访问操作数地址  34H",data/csbench/student_images/CO_1/ANS_CO_77.png
CO_1,ANS_CO_42,P2,possible_teacher_over_score,2.0,three_way_core_score,0.7,1.3,1.3,1.0,1.3,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.7,0.7,0.7,0.7,NEG,0.9428,low,0.6,1.0,0.733333,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,34,data/csbench/student_images/CO_1/ANS_CO_42.jpg
CO_1,ANS_CO_03,P2,possible_teacher_over_score,1.0,three_way_core_score,0.0,1.0,1.0,1.0,1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.0,0.0,0.0,0.0,POS,0.0,high,0.0,0.0,0.0,,,,,"A=||0||
I=1
OP=0
所求=06",data/csbench/student_images/CO_1/ANS_CO_03.jpg
CO_1,ANS_CO_06,P2,possible_teacher_under_score,1.0,three_way_core_score,2.0,-1.0,1.0,1.0,-1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,解：机器码DE 1101 1110 地址字段110111=1 OP=0 易知指令是指向地址为04H的间接寻址。操作数内容为05H,data/csbench/student_images/CO_1/ANS_CO_06.jpg
CO_1,ANS_CO_121,P2,possible_teacher_under_score,1.0,three_way_core_score,2.0,-1.0,1.0,1.0,-1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.0,2.0,2.0,2.0,BND,0.0,high,0.3,0.0,0.3,,,,,"地址字段 A: 110 111
I=1, A中为操作数地址.
∴操作数为 38",data/csbench/student_images/CO_1/ANS_CO_121.png
CO_1,ANS_CO_26,P2,possible_teacher_under_score,1.0,three_way_core_score,2.0,-1.0,1.0,1.0,-1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,"11011110.
A=00110111，I=1.
∴ A= 37 对应内容为(08)H",data/csbench/student_images/CO_1/ANS_CO_26.jpg
CO_1,ANS_CO_80,P2,possible_teacher_under_score,1.0,three_way_core_score,2.0,-1.0,1.0,1.0,-1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.1,,,,,"由题意. 1101111B=36H
OP=0 ∴ 操作数内容 35H
I=1
A:110111",data/csbench/student_images/CO_1/ANS_CO_80.png
CO_1,ANS_CO_93,P2,possible_teacher_over_score,1.0,three_way_core_score,0.0,1.0,1.0,1.0,1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.0,0.0,0.0,0.0,BND,0.0,high,0.4,0.0,0.4,rubric_mapping_risk,,,,"11011110 去除后两位后得 1101110 . I=1为间接寻址
故 A指定地址内容为05H",data/csbench/student_images/CO_1/ANS_CO_93.png
CO_1,ANS_CO_95,P2,possible_teacher_under_score,1.0,three_way_core_score,2.0,-1.0,1.0,1.0,-1.0,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,"解：DE(16)=11011110(2)
则I=1.采用间址寻址，A中指定地址110111为真正操作数地址37H
则对应内容为08H",data/csbench/student_images/CO_1/ANS_CO_95.png
CO_2,ANS_CO_585,P1,possible_teacher_over_score,20.0,three_way_core_score,2.7,17.3,17.3,5.0,12.6,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,2.7,2.7,2.7,2.7,BND,0.9428,high,0.25,0.5,0.383333,,,,,"（1）排列顺序为 A>D>C>E>B
各级中断源的中断屏蔽字为：
A：A ，D：AD  C：ADC  E：ADCE
服务程序B：ADCEB
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_585.png
CO_2,ANS_CO_562,P1,possible_teacher_over_score,15.0,three_way_core_score,2.0,13.0,13.0,5.0,8.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,"(1) 中断处理优先级为A>D>C>E>B
A: 00000
B: 10111
C: 10010
D: 10000
E: 10110
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_562.jpg
CO_2,ANS_CO_594,P1,possible_teacher_over_score,20.0,three_way_core_score,10.0,10.0,10.0,5.0,5.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,11.0,11.0,10.0,10.0,BND,1.4142,high,0.0,0.75,0.233333,,,,,"（1）如表所示A>D>C>E>B
A→B(被判断)→C(被判断)→D
→B(被判断)→(¬)B(被判断)
→E→B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_594.png
CO_2,ANS_CO_542,P1,possible_teacher_over_score,18.0,three_way_core_score,10.0,8.0,8.0,5.0,3.3,5.0,absolute_disagreement,4.7,True,20.0,10.0,10.0,10.0,10.0,POS,0.0,high,0.0,0.0,0.0,,,,,"解: 中断处理优先级 A B C D E
A 1 1 1 1 1
B 0 1 0 0 0
C 0 1 1 0 1
D 0 1 1 1 1
E 0 1 0 0 1
A > D > C > E > B
A的中断屏蔽字为11111
B 为01000
C 为01101
D 为01111
E 为01001
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_542.jpg
CO_2,ANS_CO_580,P1,possible_teacher_over_score,20.0,three_way_core_score,14.0,6.0,6.0,5.0,1.3,5.0,absolute_disagreement,4.7,True,20.0,14.0,14.0,14.0,14.0,POS,0.0,high,0.0,0.0,0.0,,,,,"(1)A>D>C>E>B如表所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_580.png
CO_2,ANS_CO_615,P1,possible_teacher_over_score,18.0,three_way_core_score,12.0,6.0,6.0,5.0,1.3,5.0,absolute_disagreement,4.7,True,20.0,12.0,12.0,12.0,12.0,BND,1.633,high,0.0,1.0,0.2,,,,,"(1)中断处理优先级：A >D >C >E >B
中断屏蔽字：A:11111 D:01111 C:00111 E:00011 B:00001
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_615.png
CO_2,ANS_CO_596,P1,possible_teacher_over_score,18.0,three_way_core_score,12.7,5.3,5.3,5.0,0.6,5.0,absolute_disagreement,4.7,True,20.0,12.7,12.7,12.7,12.7,BND,1.8856,high,0.0,1.0,0.133333,,,,,"（1）中断处理优先级顺序：A>D>C>E>B
中断屏蔽字分别为：
A 11111
B 00001
C 00111
D 01111
E 00011
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_596.png
CO_2,ANS_CO_617,P1,possible_teacher_under_score,15.0,three_way_core_score,20.0,-5.0,5.0,5.0,-9.7,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,20.0,20.0,20.0,20.0,BND,0.0,high,0.25,0.0,0.25,,,,,"(1)由题中断处理优先级排序：A>D>C>E>B
A级中断源中断屏蔽字：A.D.C.E.B
B级中断源中断屏蔽字：无
C级中断源中断屏蔽字：C.E.B
D级中断源中断屏蔽字：D.C.E.B
E级中断源中断屏蔽字：E.B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_617.png
CO_2,ANS_CO_546,P2,possible_teacher_over_score,20.0,three_way_core_score,2.0,18.0,18.0,5.0,13.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,6.0,6.0,2.0,2.0,BND,3.266,high,0.25,1.0,0.641667,rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,"中断处理优先级：
A>D>C>E>B
中断屏蔽字：
如图所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_546.jpg
CO_2,ANS_CO_551,P2,possible_teacher_over_score,18.0,three_way_core_score,0.7,17.3,17.3,5.0,12.6,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,4.7,4.7,0.7,0.7,BND,1.8856,low,0.5,1.0,0.633333,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially,,,,"解：(1)排列顺序为 A>D>C>E>B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_551.jpg
CO_2,ANS_CO_523,P2,possible_teacher_over_score,18.0,three_way_core_score,1.3,16.7,16.7,5.0,12.0,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,5.3,5.3,1.3,1.3,BND,3.3993,high,0.0,1.0,0.433333,rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,"（1）画出处理优先级：A > D > C > E > B
慢 A级 10000 D级01000 C级00100 E级00010 B级00001
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_523.jpg
CO_2,ANS_CO_559,P2,possible_teacher_over_score,20.0,three_way_core_score,3.3,16.7,16.7,5.0,12.0,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,7.3,7.3,3.3,3.3,BND,1.8856,high,0.0,1.0,0.133333,a3wa_changed_score_materially,,,,"由题意可知 中断处理优先级为A>D>C>E>B
中断屏蔽字如表所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_559.jpg
CO_2,ANS_CO_526,P2,possible_teacher_over_score,20.0,three_way_core_score,4.0,16.0,16.0,5.0,11.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,4.0,4.0,4.0,4.0,BND,2.8284,high,0.2,1.0,0.366667,unstable_model_judgements,,,,"（1）A > D > C > E > B 如表格所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_526.jpg
CO_2,ANS_CO_573,P2,possible_teacher_over_score,18.0,three_way_core_score,4.0,14.0,14.0,5.0,9.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,8.0,8.0,4.0,4.0,BND,2.8284,high,0.0,1.0,0.3,a3wa_changed_score_materially|unstable_model_judgements,,,,"(1)A 1 1 1 1 1
B 0 1 0 0 0
C 0 1 1 0 1
D 0 1 1 1 1
E 0 1 0 0 1
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_573.jpg
CO_2,ANS_CO_624,P2,possible_teacher_over_score,18.0,three_way_core_score,4.0,14.0,14.0,5.0,9.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,8.0,8.0,4.0,4.0,BND,1.633,high,0.25,1.0,0.45,rubric_mapping_risk|a3wa_changed_score_materially,,,,"(1)由题意可知 中断处理优先级的排列顺序为 A>D>C>E>B  各级中断属于字 A:无 D:A C:A,D E:A,D,C B:A,D,C,E
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_624.png
CO_2,ANS_CO_535,P2,possible_teacher_over_score,20.0,three_way_core_score,7.0,13.0,13.0,5.0,8.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,11.0,11.0,7.0,7.0,BND,3.7417,high,0.0,1.0,0.366667,a3wa_changed_score_materially|unstable_model_judgements,,,,"A>D>C>E>B 
A A B C D E
A 1 1 1 1
B 0 1 0 0 0
C 0 1 1 0 1
D 0 1 1 1 1
E 0 1 0 0 1 
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_535.jpg
CO_2,ANS_CO_540,P2,possible_teacher_over_score,18.0,three_way_core_score,5.0,13.0,13.0,5.0,8.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,5.0,5.0,5.0,5.0,BND,2.9439,high,0.0,1.0,0.1,unstable_model_judgements,,,,"解：根据题中所给信息可得处理优先级为A>D>C>E>B。
各中断源的屏蔽字为：
A:00000
B:10111
C:10010
D:10000
E:10110
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_540.jpg
CO_2,ANS_CO_565,P2,possible_teacher_over_score,18.0,three_way_core_score,5.2,12.8,12.8,5.0,8.1,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,9.2,9.2,5.2,5.2,BND,7.663,high,0.0,1.0,0.3,a3wa_changed_score_materially|unstable_model_judgements,,,,"屏蔽字
A1 1 1 1 1
B 0 1 0 0 0
C 0 1 1 0 1
D 0 1 1 1 1
E 0 1 0 0 1
中断优先级
A>D>C>E>B.
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_565.jpg
CO_2,ANS_CO_530,P2,possible_teacher_over_score,15.0,three_way_core_score,3.3,11.7,11.7,5.0,7.0,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,3.3,3.3,3.3,3.3,BND,1.8856,low,0.5,1.0,0.7,extraction_risk|rubric_mapping_risk,,,,"(1)中断处理优先级排列顺序：
A>D>C>E>B
A可以屏蔽A.D.C.E.B；D可以屏蔽D.C.E.B；C可以屏蔽E.B；C.
E可以屏蔽BE,B可以屏蔽B.
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_530.jpg
CO_2,ANS_CO_524,P2,possible_teacher_over_score,18.0,three_way_core_score,6.5,11.5,11.5,5.0,6.8,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,6.5,6.5,6.5,6.5,BND,3.8944,high,0.0,1.0,0.266667,unstable_model_judgements,,,,"(1)：由题意得：A级的优先级最高，B级优先级最低。D级优先级第二，C级第三，E级第四，即A>D>C>E>B.如表格所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_524.jpg
CO_2,ANS_CO_627,P2,possible_teacher_over_score,18.0,three_way_core_score,6.7,11.3,11.3,5.0,6.6,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,6.7,6.7,6.7,6.7,BND,0.9428,low,0.5,0.5,0.5,extraction_risk|rubric_mapping_risk,,,,"（1）优先级：A>D>C>E>B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_627.png
CO_2,ANS_CO_598,P2,possible_teacher_over_score,15.0,three_way_core_score,4.7,10.3,10.3,5.0,5.6,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,7.7,7.7,4.7,4.7,BND,1.6997,high,0.0,1.0,0.233333,a3wa_changed_score_materially,,,,"解.(1) 排列顺序：A>D>C>E>B
中断屏蔽字：A:1111(屏蔽所有)，B:00000(不屏蔽任何)，C:01010(屏蔽BE)，D:01111(除了A其它都屏蔽)，E:01000(屏蔽B)
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_598.png
CO_2,ANS_CO_537,P2,possible_teacher_over_score,20.0,three_way_core_score,10.0,10.0,10.0,5.0,5.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,10.0,10.0,10.0,10.0,BND,4.3205,high,0.0,1.0,0.3,unstable_model_judgements,,,,"(1)A>D>C>E>B
中断屏蔽字如表所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_537.jpg
CO_2,ANS_CO_552,P2,possible_teacher_over_score,20.0,three_way_core_score,10.0,10.0,10.0,5.0,5.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,10.0,10.0,10.0,10.0,BND,4.3205,high,0.0,1.0,0.3,unstable_model_judgements,,,,"(1)A>D>C>E>B
A: 1 1 1 1 1
B: 0 1 0 0 0
C: 0 1 1 0 1
D: 0 1 1 1 1
E: 0 1 0 0 1
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_552.jpg
CO_2,ANS_CO_569,P2,possible_teacher_over_score,19.0,three_way_core_score,9.0,10.0,10.0,5.0,5.3,5.0,absolute_disagreement|within_question_outlier,4.7,True,20.0,13.0,13.0,9.0,9.0,BND,2.9439,high,0.05,1.0,0.35,a3wa_changed_score_materially|unstable_model_judgements,,,,"解：(1) 屏蔽字
A 1 1 1 11
B 0 1 0 0 0
C 0 1 1 0 1
D 0 1 1 1 1
E 0 1 0 0 1
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_569.jpg
CO_2,ANS_CO_638,P2,possible_teacher_over_score,20.0,three_way_core_score,10.7,9.3,9.3,5.0,4.6,5.0,absolute_disagreement,4.7,True,20.0,14.7,14.7,10.7,10.7,BND,3.7712,high,0.0,1.0,0.133333,a3wa_changed_score_materially|unstable_model_judgements,,,,"(1)A:11111 B: 01000 C: 01101 D: 01111 E:  01001 A>D>C>E>B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_638.png
CO_2,ANS_CO_589,P2,possible_teacher_over_score,15.0,three_way_core_score,6.0,9.0,9.0,5.0,4.3,5.0,absolute_disagreement,4.7,True,20.0,6.0,6.0,6.0,6.0,NEG,3.266,low,0.5,1.0,0.766667,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,"（1）优先级排序：A>D>C>E>B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_589.png
CO_2,ANS_CO_558,P2,possible_teacher_over_score,18.0,three_way_core_score,9.3,8.7,8.7,5.0,4.0,5.0,absolute_disagreement,4.7,True,20.0,13.3,13.3,9.3,9.3,BND,2.4944,high,0.0,1.0,0.2,a3wa_changed_score_materially|unstable_model_judgements,,,,"解：1. 排列顺序：A > D > C > E > B 中断屏蔽字 A: 11111 
B: 00000 
C: 01110 
D: 01111 
E: 01101
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_558.jpg
CO_2,ANS_CO_520,P2,possible_teacher_over_score,15.0,three_way_core_score,6.7,8.3,8.3,5.0,3.6,5.0,absolute_disagreement,4.7,True,20.0,6.7,6.7,6.7,6.7,BND,2.4944,low,0.5,1.0,0.633333,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,"(1)中断响应优先级为A>B>C>D>E.
(2)同时出现ABC级中断请求，在处理c级中断时又出现DE级请求
如图所示",data/csbench/student_images/CO_2/ANS_CO_520.jpg
CO_2,ANS_CO_575,P2,possible_teacher_over_score,15.0,three_way_core_score,6.7,8.3,8.3,5.0,3.6,5.0,absolute_disagreement,4.7,True,20.0,6.7,6.7,6.7,6.7,BND,3.7712,high,0.0,1.0,0.2,unstable_model_judgements,,,,"中断处理优先级：A>D>C>E>B，
中断屏蔽字：
A:11111
B:00000
C:01010
D:10001
E:01000
程序运行时
A,B,C同时请求，用优先级A>B>C，
先执行A程序，因处理优先级C>B，
先执行C程序，D,E请求，因处理
优先级D>C，且C不屏蔽D，进入D
程序，后返回C继续执行，
C结束后再执行B。
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_575.png
CO_2,ANS_CO_532,P2,possible_teacher_over_score,20.0,three_way_core_score,11.8,8.2,8.2,5.0,3.5,5.0,absolute_disagreement,4.7,True,20.0,7.8,7.8,11.8,11.8,BND,0.8498,high,0.0,0.5,0.133333,a3wa_changed_score_materially,,,,"解.（1） 中断屏蔽字 中断源 
A B C D E 
A 1 1 1 11 
B 0 1 0 00 
C 0 1 10 1 
D 0 1 11 1 
E 0 1 00 1 中断处理优先级: A>D>C>E>B
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_532.jpg
CO_2,ANS_CO_525,P2,possible_teacher_over_score,20.0,three_way_core_score,12.0,8.0,8.0,5.0,3.3,5.0,absolute_disagreement,4.7,True,20.0,16.0,16.0,12.0,12.0,BND,2.8284,high,0.0,1.0,0.133333,a3wa_changed_score_materially|unstable_model_judgements,,,,"(1) A>D>C>E>B 如表格所示
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_525.jpg
CO_2,ANS_CO_550,P2,possible_teacher_over_score,20.0,three_way_core_score,12.0,8.0,8.0,5.0,3.3,5.0,absolute_disagreement,4.7,True,20.0,16.0,16.0,12.0,12.0,BND,4.3205,high,0.0,1.0,0.233333,a3wa_changed_score_materially|unstable_model_judgements,,,,"A> D > C > E > B
M₀ M₁ M₂ M₃ M₄
Δ 1 1 1 1 1
B 0 0 0 0 1
C 0 0 1 1 1
D 0 1 1 1 1
E 0 0 0 1 1
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_550.jpg
CO_2,ANS_CO_564,P2,possible_teacher_over_score,20.0,three_way_core_score,12.0,8.0,8.0,5.0,3.3,5.0,absolute_disagreement,4.7,True,20.0,16.0,16.0,12.0,12.0,BND,5.6569,high,0.0,1.0,0.433333,rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,"用：(1) A＞D＞C＞E＞B 中断优先级，屏蔽字如表所示.
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_564.jpg
CO_2,ANS_CO_599,P2,possible_teacher_over_score,20.0,three_way_core_score,12.0,8.0,8.0,5.0,3.3,5.0,absolute_disagreement,4.7,True,20.0,12.0,12.0,12.0,12.0,BND,3.266,high,0.0,1.0,0.266667,unstable_model_judgements,,,,"(1). A>D>C>E>B
A: 11111  D: 01111
B: 00001  E: 01010
C: 01101
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_599.png
CO_2,ANS_CO_620,P2,possible_teacher_over_score,15.0,three_way_core_score,7.3,7.7,7.7,5.0,3.0,5.0,absolute_disagreement,4.7,True,20.0,7.3,7.3,7.3,7.3,BND,1.8856,low,0.5,1.0,0.633333,extraction_risk|rubric_mapping_risk,,,,"（1）A>D>C>E>B.
(2)如图所示",data/csbench/student_images/CO_2/ANS_CO_620.png
