question,student_id,teacher,single,avg,selected,final_3wd,diff_final,abs_error_final,gain_3wd_vs_avg,gain_3wd_vs_selected,route,baseline_policy,boundary_action,diagnosis
Q4,E12314085,11.0,16.0,16.0,16.0,16.0,5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;overestimate;bnd_no_score_change;q4_overcredit;high_score_safety_review
Q4,E12314093,12.0,12.0,12.3,13.0,13.0,1.0,1.0,-0.7,0.0,BND,upper_consensus_strict,reject_lower,bnd_no_score_change;selected_worse_than_avg
Q4,E12314125,14.0,18.0,15.5,18.0,18.0,4.0,4.0,-2.5,0.0,BND,upper_consensus_strict,reject_lower,serious_error;overestimate;bnd_no_score_change;selected_worse_than_avg;q4_overcredit;structure_missing_review;high_score_safety_review
Q4,E12314133,14.0,9.0,9.0,9.0,9.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q4_undercredit;structure_missing_review
Q4,E12314165,8.0,6.0,9.0,9.0,9.0,1.0,1.0,0.0,0.0,BND,model_avg,reject_raise,bnd_no_score_change;structure_missing_review
Q4,E12314169,14.0,11.0,10.0,11.0,11.0,-3.0,3.0,1.0,0.0,BND,upper_consensus_strict,reject_lower,serious_error;underestimate;bnd_no_score_change;selected_better_than_avg;q4_undercredit;structure_missing_review
Q4,E12314173,9.0,10.0,10.2,10.5,10.5,1.5,1.5,-0.3,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_worse_than_avg
Q4,E12314177,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change
Q4,E12314185,15.0,16.0,15.5,16.0,16.0,1.0,1.0,-0.5,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_worse_than_avg;high_score_safety_review
Q4,E12314189,16.0,13.0,13.0,13.0,13.0,-3.0,3.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q4_undercredit
Q4,E12314201,12.0,12.0,11.3,12.0,12.0,0.0,0.0,0.7,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_better_than_avg;structure_missing_review
Q4,E12314217,19.0,16.5,15.8,16.5,16.5,-2.5,2.5,0.7,0.0,BND,upper_consensus_strict,reject_lower,serious_error;underestimate;bnd_no_score_change;selected_better_than_avg;q4_undercredit;high_score_safety_review
Q4,WA2324049,20.0,17.0,17.0,17.0,17.0,-3.0,3.0,0.0,0.0,BND,model_avg,reject_lower,serious_error;underestimate;bnd_no_score_change;q4_undercredit;high_score_safety_review
Q5,E01914115,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E02014181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;structure_missing_review
Q5,E12214006,8.0,3.0,3.0,3.0,3.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12214023,10.0,5.0,5.0,5.0,5.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12214062,10.0,7.0,7.3,8.0,8.0,-2.0,2.0,0.7,0.0,BND,upper_consensus_strict,reject_lower,bnd_no_score_change;selected_better_than_avg
Q5,E12214075,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12214091,15.0,10.0,10.0,10.0,10.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12214107,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12214171,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12214212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;structure_missing_review
Q5,E12314005,15.0,14.0,13.3,13.3,13.3,-1.7,1.7,0.0,0.0,BND,model_avg,reject_raise,bnd_no_score_change;high_score_safety_review
Q5,E12314013,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314017,8.0,3.0,3.0,3.0,3.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12314021,10.0,5.0,5.3,5.3,5.3,-4.7,4.7,0.0,0.0,POS,model_avg,,serious_error;underestimate;pos_missed_risk
Q5,E12314025,15.0,14.0,14.0,14.0,14.0,-1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314029,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314037,10.0,8.0,6.3,8.0,8.0,-2.0,2.0,1.7,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_better_than_avg
Q5,E12314045,15.0,10.0,10.0,10.0,10.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12314049,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314053,15.0,14.0,14.0,14.0,14.0,-1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314061,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314069,15.0,14.0,13.7,13.7,13.7,-1.3,1.3,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314073,10.0,11.0,11.0,11.0,11.0,1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314077,15.0,11.0,11.2,11.5,11.5,-3.5,3.5,0.3,0.0,BND,upper_consensus_strict,keep_minor_change,serious_error;underestimate;bnd_no_score_change;selected_better_than_avg;high_score_safety_review
Q5,E12314081,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314085,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314089,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314093,8.0,6.0,6.0,6.0,6.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change
Q5,E12314097,15.0,12.0,12.0,12.0,12.0,-3.0,3.0,0.0,0.0,BND,model_avg,reject_lower,serious_error;underestimate;bnd_no_score_change;high_score_safety_review
Q5,E12314101,8.0,2.0,2.0,2.0,2.0,-6.0,6.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_severe_undercredit;structure_missing_review
Q5,E12314105,10.0,11.0,11.0,11.0,11.0,1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314109,10.0,7.0,8.3,9.0,9.0,-1.0,1.0,0.7,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_better_than_avg
Q5,E12314113,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314117,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314121,8.0,5.0,5.0,5.0,5.0,-3.0,3.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12314125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;structure_missing_review
Q5,E12314133,12.0,8.0,7.3,8.0,8.0,-4.0,4.0,0.7,0.0,BND,upper_consensus_strict,reject_lower,serious_error;underestimate;bnd_no_score_change;selected_better_than_avg
Q5,E12314137,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314141,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314145,15.0,6.0,5.3,5.3,5.3,-9.7,9.7,0.0,0.0,POS,model_avg,,serious_error;underestimate;pos_missed_risk;q5_severe_undercredit
Q5,E12314149,15.0,14.0,14.0,14.0,14.0,-1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314153,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314157,10.0,5.0,4.3,4.3,4.3,-5.7,5.7,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_severe_undercredit
Q5,E12314161,10.0,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314165,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314169,15.0,9.0,9.0,9.0,9.0,-6.0,6.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_severe_undercredit
Q5,E12314173,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314177,5.0,14.0,14.0,14.0,14.0,9.0,9.0,0.0,0.0,POS,model_avg,,serious_error;overestimate;pos_missed_risk
Q5,E12314181,5.0,4.0,4.0,4.0,4.0,-1.0,1.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;structure_missing_review
Q5,E12314185,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314189,15.0,14.0,13.3,13.3,13.3,-1.7,1.7,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314193,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,E12314201,15.0,14.0,14.0,14.0,14.0,-1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q5,E12314209,8.0,3.0,3.0,3.0,3.0,-5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12314213,8.0,4.0,4.0,4.0,4.0,-4.0,4.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change
Q5,E12314217,15.0,13.0,13.0,13.0,13.0,-2.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q5,E12314221,8.0,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q5_visual_or_extraction_zero;q5_severe_undercredit;structure_missing_review
Q5,WA2324049,15.0,14.0,14.0,14.0,14.0,-1.0,1.0,0.0,0.0,POS,model_avg,,ok_or_minor
