question,student_id,teacher,single,avg,selected,final,final_diff,gain_final_vs_avg,gain_final_vs_selected,route,baseline_policy,boundary_action,rules,blank_rate,extraction_quality
Q4,E12314097,2.0,2,2.0,2.0,2.0,0.0,0.0,0.0,NEG,model_avg,,,0.93,high
Q4,E12314093,12.0,14,14.0,14.0,14.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q4,E12314133,14.0,9,9.3,10.0,10.0,-4.0,0.6999999999999993,0.0,BND,upper_consensus_strict,reject_lower,,0.2,high
Q4,E12314125,14.0,13,12.8,13.0,13.0,-1.0,0.1999999999999993,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q4,E12314141,6.0,4,4.3,4.3,4.3,-1.7000000000000002,0.0,0.0,NEG,model_avg,,,0.6,high
Q4,E12314165,8.0,10,8.5,8.5,8.5,0.5,0.0,0.0,POS,model_avg,,,0.0,high
Q4,E12314173,9.0,14,13.3,14.0,14.0,5.0,-0.6999999999999993,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q4,E12314177,12.0,14,13.0,14.0,14.0,2.0,-1.0,0.0,BND,upper_consensus_strict,keep_minor_change,,0.13,high
Q4,E12314169,14.0,11,10.5,11.0,11.0,-3.0,0.5,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q4,E12314189,16.0,17,16.0,17.0,17.0,1.0,-1.0,0.0,BND,upper_consensus_strict,keep_minor_change,,0.27,high
Q4,E12314193,6.0,5,5.7,5.7,5.7,-0.2999999999999998,0.0,0.0,NEG,model_avg,,,0.53,high
Q4,E12314201,12.0,11.5,11.3,11.5,11.5,-0.5,0.1999999999999993,0.0,BND,upper_consensus_strict,keep_minor_change,,0.13,high
Q4,E12314213,8.0,6,6.0,6.0,6.0,-2.0,0.0,0.0,NEG,model_avg,,,0.53,high
Q4,E12314185,15.0,18,18.0,18.0,18.0,3.0,0.0,0.0,POS,model_avg,,,0.0,high
Q4,E12314221,6.0,3,3.0,3.0,3.0,-3.0,0.0,0.0,NEG,model_avg,,,0.8,high
Q4,E12314217,19.0,14.5,14.7,15.0,15.0,-4.0,0.3000000000000007,0.0,BND,upper_consensus_strict,keep_minor_change,,0.2,high
Q4,WA2324049,20.0,20,20.0,20.0,20.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E01914214,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,NEG,model_avg,,,0.33,high
Q5,E01914115,8.0,1,1.0,1.0,1.0,-7.0,0.0,0.0,NEG,model_avg,,,0.22,high
Q5,E02014181,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,POS,model_avg,,,1.0,high
Q5,E01914290,8.0,1,1.0,1.0,1.0,-7.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12214006,8.0,3,3.0,3.0,3.0,-5.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12214062,10.0,10,10.0,10.0,10.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12214023,10.0,5,5.0,5.0,5.0,-5.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.44,high
Q5,E12214075,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12214098,8.0,4,4.0,4.0,4.0,-4.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12214107,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.78,high
Q5,E12214171,15.0,14,14.0,14.0,14.0,-1.0,0.0,0.0,POS,model_avg,,,0.11,high
Q5,E12214212,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,POS,model_avg,,,1.0,high
Q5,E12214091,15.0,8,10.3,13.0,13.0,-2.0,2.6999999999999993,0.0,BND,upper_consensus_strict,keep_minor_change,,0.0,high
Q5,E12314005,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314009,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,NEG,model_avg,,,0.33,high
Q5,E12314017,8.0,3,3.0,3.0,3.0,-5.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.11,high
Q5,E12314013,15.0,15,14.7,14.7,14.7,-0.3000000000000007,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314025,15.0,10,10.0,10.0,10.0,-5.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314021,10.0,4,4.0,4.0,4.0,-6.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.11,high
Q5,E12314033,10.0,2,2.0,2.0,2.0,-8.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12314029,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314041,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12314037,10.0,9.5,8.7,9.5,9.5,-0.5,0.8000000000000007,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q5,E12314049,15.0,14,14.0,14.0,14.0,-1.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314045,15.0,8,8.0,8.0,8.0,-7.0,0.0,0.0,BND,model_avg,reject_lower,,0.0,high
Q5,E12314053,15.0,13,13.0,13.0,12.0,-3.0,-1.0,-1.0,BND,model_avg,small_lower,,0.0,high
Q5,E12314061,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314057,8.0,2,3.0,3.0,3.0,-5.0,0.0,0.0,BND,model_avg,reject_lower,,0.0,high
Q5,E12314065,8.0,6,6.3,7.0,7.0,-1.0,0.7000000000000002,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q5,E12314069,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314077,15.0,11,11.0,11.0,11.0,-4.0,0.0,0.0,POS,model_avg,,,0.11,high
Q5,E12314073,10.0,10,10.0,10.0,10.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314081,15.0,14,14.0,14.0,14.0,-1.0,0.0,0.0,POS,model_avg,,,0.11,high
Q5,E12314085,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.67,high
Q5,E12314093,8.0,6,6.0,6.0,6.0,-2.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314089,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,POS,model_avg,,,0.33,high
Q5,E12314101,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.78,high
Q5,E12314097,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314105,10.0,12,12.0,12.0,12.0,2.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314113,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.67,high
Q5,E12314117,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.67,high
Q5,E12314121,8.0,6,6.0,6.0,6.0,-2.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,POS,model_avg,,,1.0,high
Q5,E12314129,8.0,2,2.0,2.0,2.0,-6.0,0.0,0.0,POS,model_avg,,,0.44,high
Q5,E12314109,10.0,9,9.0,9.0,9.0,-1.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314137,15.0,11,11.0,11.0,11.0,-4.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314133,12.0,8,8.3,9.0,9.0,-3.0,0.6999999999999993,0.0,BND,upper_consensus_strict,keep_minor_change,,0.0,high
Q5,E12314141,8.0,1,1.0,1.0,1.0,-7.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.56,high
Q5,E12314145,15.0,6,6.0,6.0,6.0,-9.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q5,E12314149,15.0,12,12.0,12.0,12.0,-3.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.11,high
Q5,E12314157,10.0,3,2.3,2.3,2.3,-7.7,0.0,0.0,BND,model_avg,reject_lower,,0.33,high
Q5,E12314153,8.0,0,1.0,1.0,1.0,-7.0,0.0,0.0,BND,model_avg,reject_lower,,0.67,high
Q5,E12314161,10.0,3,3.0,3.0,3.0,-7.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12314165,15.0,14,14.3,14.3,14.3,-0.6999999999999993,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314169,15.0,14,14.0,14.0,14.0,-1.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314173,15.0,11,11.0,11.0,11.0,-4.0,0.0,0.0,POS,model_avg,,,0.11,high
Q5,E12314177,5.0,11,11.0,11.0,11.0,6.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314181,5.0,4,4.0,4.0,4.0,-1.0,0.0,0.0,POS,model_avg,,,0.44,high
Q5,E12314189,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314185,15.0,10,9.0,10.0,10.0,-5.0,1.0,0.0,BND,upper_consensus_strict,reject_lower,,0.0,high
Q5,E12314193,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,POS,model_avg,,,1.0,high
Q5,E12314205,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,NEG,model_avg,,,0.0,high
Q5,E12314201,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314213,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,NEG,model_avg,,,0.33,high
Q5,E12314209,8.0,2,2.0,2.0,2.0,-6.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.22,high
Q5,E12314221,8.0,0,0.0,0.0,0.0,-8.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.78,high
Q5,WA2324049,15.0,15,15.0,15.0,15.0,0.0,0.0,0.0,POS,model_avg,,,0.0,high
Q5,E12314217,15.0,12,12.8,12.8,12.8,-2.1999999999999993,0.0,0.0,BND,model_avg,reject_raise,,0.0,high
