qid,student_id,teacher_score,single_first_score,model_avg_score,final_3wd_score,single_error,avg_error,final_error,single_abs_error,avg_abs_error,final_abs_error,avg_gain_vs_single,final_gain_vs_avg,final_gain_vs_single,route,gate_action,a3_reason,rules
Q6,E12314041_Q6,14.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314045_Q6,10.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314053_Q6,14.0,8.0,8.3,8.3,-6.0,-5.699999999999999,-5.699999999999999,6.0,5.699999999999999,5.699999999999999,0.3000000000000007,0.0,0.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314057_Q6,5.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314061_Q6,14.0,10.0,10.7,12.1,-4.0,-3.3000000000000007,-1.9000000000000004,4.0,3.3000000000000007,1.9000000000000004,0.6999999999999993,1.4000000000000004,2.0999999999999996,BND,auto_small_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314049_Q6,14.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314069_Q6,19.0,12.0,12.3,12.3,-7.0,-6.699999999999999,-6.699999999999999,7.0,6.699999999999999,6.699999999999999,0.3000000000000007,0.0,0.3000000000000007,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314065_Q6,14.0,8.0,8.7,8.7,-6.0,-5.300000000000001,-5.300000000000001,6.0,5.300000000000001,5.300000000000001,0.6999999999999993,0.0,0.6999999999999993,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314073_Q6,8.0,9.0,7.3,7.3,1.0,-0.7000000000000002,-0.7000000000000002,1.0,0.7000000000000002,0.7000000000000002,0.2999999999999998,0.0,0.2999999999999998,BND,reject_lower,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314077_Q6,14.0,10.0,12.0,15.0,-4.0,-2.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,BND,medium_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314085_Q6,9.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314081_Q6,14.0,10.0,11.7,14.7,-4.0,-2.3000000000000007,0.6999999999999993,4.0,2.3000000000000007,0.6999999999999993,1.6999999999999993,1.6000000000000014,3.3000000000000007,BND,medium_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314089_Q6,6.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314097_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314093_Q6,4.0,5.0,4.7,4.7,1.0,0.7000000000000002,0.7000000000000002,1.0,0.7000000000000002,0.7000000000000002,0.2999999999999998,0.0,0.2999999999999998,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314101_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314109_Q6,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314105_Q6,12.0,6.0,8.0,9.4,-6.0,-4.0,-2.5999999999999996,6.0,4.0,2.5999999999999996,2.0,1.4000000000000004,3.4000000000000004,BND,small_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314113_Q6,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314117_Q6,8.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314121_Q6,10.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314129_Q6,11.0,6.0,6.0,6.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314125_Q6,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314133_Q6,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314137_Q6,6.0,4.0,4.7,4.7,-2.0,-1.2999999999999998,-1.2999999999999998,2.0,1.2999999999999998,1.2999999999999998,0.7000000000000002,0.0,0.7000000000000002,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314141_Q6,14.0,10.0,10.7,10.7,-4.0,-3.3000000000000007,-3.3000000000000007,4.0,3.3000000000000007,3.3000000000000007,0.6999999999999993,0.0,0.6999999999999993,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314145_Q6,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314149_Q6,14.0,8.0,9.0,9.0,-6.0,-5.0,-5.0,6.0,5.0,5.0,1.0,0.0,1.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314153_Q6,8.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314157_Q6,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314161_Q6,8.0,3.0,3.7,3.7,-5.0,-4.3,-4.3,5.0,4.3,4.3,0.7000000000000002,0.0,0.7000000000000002,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314169_Q6,10.0,5.0,6.0,6.0,-5.0,-4.0,-4.0,5.0,4.0,4.0,1.0,0.0,1.0,BND,reject_lower,beta_lt_confidence_lt_alpha,
Q6,E12314165_Q6,12.0,7.0,8.3,9.7,-5.0,-3.6999999999999993,-2.3000000000000007,5.0,3.6999999999999993,2.3000000000000007,1.3000000000000007,1.3999999999999986,2.6999999999999993,BND,small_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314173_Q6,8.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314181_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314177_Q6,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314189_Q6,12.0,8.0,9.0,9.0,-4.0,-3.0,-3.0,4.0,3.0,3.0,1.0,0.0,1.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314185_Q6,14.0,8.0,9.0,9.0,-6.0,-5.0,-5.0,6.0,5.0,5.0,1.0,0.0,1.0,BND,reject_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314193_Q6,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314201_Q6,18.0,10.0,11.3,11.3,-8.0,-6.699999999999999,-6.699999999999999,8.0,6.699999999999999,6.699999999999999,1.3000000000000007,0.0,1.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314205_Q6,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314209_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314213_Q6,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314221_Q6,5.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,WA2324049_Q6,8.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314217_Q6,12.0,6.0,6.3,6.3,-6.0,-5.7,-5.7,6.0,5.7,5.7,0.2999999999999998,0.0,0.2999999999999998,POS,NO_GATE,confidence_ge_alpha,
Q7,E01914115_Q7,8.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E01914214_Q7,2.0,4.0,4.2,4.2,2.0,2.2,2.2,2.0,2.2,2.2,-0.20000000000000018,0.0,-0.20000000000000018,POS,NO_GATE,confidence_ge_alpha,
Q7,E01914290_Q7,8.0,4.5,5.2,5.2,-3.5,-2.8,-2.8,3.5,2.8,2.8,0.7000000000000002,0.0,0.7000000000000002,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214006_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214023_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214062_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214075_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E02014181_Q7,2.0,5.0,5.2,5.2,3.0,3.2,3.2,3.0,3.2,3.2,-0.20000000000000018,0.0,-0.20000000000000018,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214091_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214098_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214107_Q7,10.0,8.0,7.8,7.8,-2.0,-2.2,-2.2,2.0,2.2,2.2,-0.20000000000000018,0.0,-0.20000000000000018,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12214171_Q7,10.0,9.5,9.5,9.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12214212_Q7,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314005_Q7,10.0,9.0,9.0,9.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314013_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314009_Q7,8.0,10.0,9.7,9.7,2.0,1.6999999999999993,1.6999999999999993,2.0,1.6999999999999993,1.6999999999999993,0.3000000000000007,0.0,0.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314021_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314017_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314025_Q7,10.0,9.4,9.8,9.8,-0.5999999999999996,-0.1999999999999993,-0.1999999999999993,0.5999999999999996,0.1999999999999993,0.1999999999999993,0.40000000000000036,0.0,0.40000000000000036,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314029_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314033_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314037_Q7,8.0,7.0,7.0,7.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q7,E12314041_Q7,8.0,9.0,9.3,9.3,1.0,1.3000000000000007,1.3000000000000007,1.0,1.3000000000000007,1.3000000000000007,-0.3000000000000007,0.0,-0.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314049_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314045_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314053_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314061_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314057_Q7,8.0,8.0,8.3,8.3,0.0,0.3000000000000007,0.3000000000000007,0.0,0.3000000000000007,0.3000000000000007,-0.3000000000000007,0.0,-0.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314065_Q7,7.0,3.0,3.0,3.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314073_Q7,10.0,9.5,9.5,9.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314069_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314077_Q7,10.0,10.0,9.8,9.8,0.0,-0.1999999999999993,-0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993,-0.1999999999999993,0.0,-0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314081_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314085_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314089_Q7,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q7,E12314093_Q7,10.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314101_Q7,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314097_Q7,5.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314105_Q7,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314109_Q7,8.0,6.0,6.7,6.7,-2.0,-1.2999999999999998,-1.2999999999999998,2.0,1.2999999999999998,1.2999999999999998,0.7000000000000002,0.0,0.7000000000000002,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q7,E12314117_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314121_Q7,8.0,7.0,6.7,6.7,-1.0,-1.2999999999999998,-1.2999999999999998,1.0,1.2999999999999998,1.2999999999999998,-0.2999999999999998,0.0,-0.2999999999999998,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314125_Q7,10.0,10.0,9.6,9.6,0.0,-0.40000000000000036,-0.40000000000000036,0.0,0.40000000000000036,0.40000000000000036,-0.40000000000000036,0.0,-0.40000000000000036,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314129_Q7,2.0,5.0,5.2,5.2,3.0,3.2,3.2,3.0,3.2,3.2,-0.20000000000000018,0.0,-0.20000000000000018,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314113_Q7,4.0,3.0,4.7,4.7,-1.0,0.7000000000000002,0.7000000000000002,1.0,0.7000000000000002,0.7000000000000002,0.2999999999999998,0.0,0.2999999999999998,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314137_Q7,10.0,9.5,9.7,9.7,-0.5,-0.3000000000000007,-0.3000000000000007,0.5,0.3000000000000007,0.3000000000000007,0.1999999999999993,0.0,0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314133_Q7,0.0,6.5,7.5,7.5,6.5,7.5,7.5,6.5,7.5,7.5,-1.0,0.0,-1.0,BND,reject_raise,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314141_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314149_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314145_Q7,6.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314157_Q7,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314153_Q7,5.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,E12314165_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314161_Q7,8.0,6.0,6.7,6.7,-2.0,-1.2999999999999998,-1.2999999999999998,2.0,1.2999999999999998,1.2999999999999998,0.7000000000000002,0.0,0.7000000000000002,BND,keep_minor_change,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q7,E12314177_Q7,6.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314181_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314169_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314189_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314185_Q7,10.0,10.0,9.8,9.8,0.0,-0.1999999999999993,-0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993,-0.1999999999999993,0.0,-0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314193_Q7,10.0,10.0,9.8,9.8,0.0,-0.1999999999999993,-0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993,-0.1999999999999993,0.0,-0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314201_Q7,10.0,9.5,9.7,9.7,-0.5,-0.3000000000000007,-0.3000000000000007,0.5,0.3000000000000007,0.3000000000000007,0.1999999999999993,0.0,0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314205_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314213_Q7,5.0,5.0,4.3,4.3,0.0,-0.7000000000000002,-0.7000000000000002,0.0,0.7000000000000002,0.7000000000000002,-0.7000000000000002,0.0,-0.7000000000000002,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314217_Q7,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314221_Q7,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,high_confidence_weak_result_high_score_review,weak_result_high_score_review
Q7,WA2324049_Q7,9.0,10.0,9.8,9.8,1.0,0.8000000000000007,0.8000000000000007,1.0,0.8000000000000007,0.8000000000000007,0.1999999999999993,0.0,0.1999999999999993,POS,NO_GATE,confidence_ge_alpha,
Q7,E12314209_Q7,5.0,6.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,POS,NO_GATE,confidence_ge_alpha,
