qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,gate,accepted,a3_reason,hard_neg,rules,mu,lenient,unsupported_high,result_strong,direct
Q6,E12314053_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0669,0.0,0.4,0.0
Q6,E12314057_Q6,5.0,6.0,6.0,1.0,1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.821818,0.0501,0.0,0.3,0.0
Q6,E12314061_Q6,14.0,10.7,10.7,-3.3000000000000007,-3.3000000000000007,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.885328,0.1429,0.0,0.5,0.0
Q6,E12314065_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.856364,0.0699,0.0,0.4,0.0
Q6,E12314069_Q6,19.0,14.0,14.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.91,0.0774,0.147,0.7,0.0
Q6,E12314073_Q6,8.0,6.0,6.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.852727,0.0491,0.0,0.3,0.0
Q6,E12314077_Q6,14.0,11.0,11.0,-3.0,-3.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.86356,0.0728,0.0,0.5,0.0
Q6,E12314081_Q6,14.0,12.7,14.1,-1.3000000000000007,0.09999999999999964,1.200000000000001,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.932298,0.1977,0.0,0.5,0.0
Q6,E12314089_Q6,6.0,5.0,5.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.0
Q6,E12314093_Q6,4.0,4.0,4.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.848182,0.0268,0.0,0.2,0.0
Q6,E12314097_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0,0.0,0.0,0.0
Q6,E12314101_Q6,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.808182,0.0,0.0,0.0,0.0
Q6,E12314105_Q6,12.0,7.0,7.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.829924,0.0418,0.0,0.3,0.0
Q6,E12314085_Q6,9.0,4.0,4.0,-5.0,-5.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.816364,0.0231,0.0,0.2,0.0
Q6,E12314109_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.0
Q6,E12314117_Q6,8.0,2.0,2.0,-6.0,-6.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.0
Q6,E12314113_Q6,3.0,4.7,6.0,1.7000000000000002,3.0,-1.2999999999999998,BND,small_raise,True,beta_lt_confidence_lt_alpha,,,0.80702,0.0229,0.0,0.2,0.0
Q6,E12314125_Q6,2.0,2.7,4.1,0.7000000000000002,2.0999999999999996,-1.3999999999999995,BND,small_raise,True,beta_lt_confidence_lt_alpha,,,0.794293,0.0061,0.0,0.1,0.0
Q6,E12314121_Q6,10.0,3.0,3.0,-7.0,-7.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.8,0.013,0.0,0.15,0.0
Q6,E12314129_Q6,11.0,6.0,6.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.875455,0.0542,0.0,0.3,0.0
Q6,E12314133_Q6,2.0,4.0,4.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.864545,0.0279,0.0,0.2,0.0
Q6,E12314137_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12314141_Q6,14.0,10.3,11.3,-3.6999999999999993,-2.6999999999999993,1.0,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.911995,0.1796,0.0,0.4,0.0
Q6,E12314145_Q6,1.0,4.0,4.0,3.0,3.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.795455,0.0242,0.0,0.2,0.0
Q6,E12314149_Q6,14.0,9.0,9.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.849924,0.0621,0.0,0.4,0.0
Q6,E12314153_Q6,8.0,4.0,4.0,-4.0,-4.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.805455,0.0247,0.0,0.2,0.0
Q6,E12314157_Q6,4.0,5.0,5.0,1.0,1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.815455,0.0364,0.0,0.25,0.0
Q6,E12314161_Q6,8.0,4.7,4.7,-3.3,-3.3,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.777252,0.0114,0.0,0.15,0.0
Q6,E12314165_Q6,12.0,5.0,5.0,-7.0,-7.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.0
Q6,E12314169_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.0
Q6,E12314173_Q6,8.0,1.0,1.0,-7.0,-7.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.786364,0.0017,0.0,0.05,0.0
Q6,E12314177_Q6,0.0,5.7,5.7,5.7,5.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.828661,0.0658,0.0,0.25,0.0
Q6,E12314181_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.830909,0.0,0.0,0.0,0.0
Q6,E12314185_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0669,0.0,0.4,0.0
Q6,E12314189_Q6,12.0,8.7,8.7,-3.3000000000000007,-3.3000000000000007,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.847929,0.0617,0.0,0.4,0.0
Q6,E12314193_Q6,2.0,0.0,0.0,-2.0,-2.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.776364,0.0,0.0,0.0,0.0
Q6,E12314201_Q6,18.0,14.3,14.3,-3.6999999999999993,-3.6999999999999993,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.908964,0.0697,0.1502,0.7,0.0
Q6,E12314209_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12314205_Q6,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.83356,0.0501,0.0,0.35,0.0
Q6,E12314213_Q6,5.0,4.0,4.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.805455,0.0247,0.0,0.2,0.0
Q6,E12314221_Q6,5.0,4.0,4.0,-1.0,-1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.854545,0.0279,0.0,0.2,0.0
Q6,E12314217_Q6,12.0,7.0,8.4,-5.0,-3.5999999999999996,1.4000000000000004,BND,small_raise,True,beta_lt_confidence_lt_alpha,,,0.82659,0.0418,0.0,0.3,0.0
Q6,WA2324049_Q6,8.0,3.0,3.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.0
Q7,E01914214_Q7,2.0,4.0,4.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.91,0.0,0.0,0.0,0.8
Q7,E01914115_Q7,8.0,9.3,9.3,1.3000000000000007,1.3000000000000007,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.942525,0.0,0.0,1.0,1.0
Q7,E01914290_Q7,8.0,6.0,6.7,-2.0,-1.2999999999999998,0.7000000000000002,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.935,0.2271,0.0,0.0,0.8
Q7,E12214006_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12214023_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12214062_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E02014181_Q7,2.0,7.0,7.0,5.0,5.0,0.0,BND,reject_lower,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.881086,0.0948,0.105,0.5,0.6
Q7,E12214091_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0588,0.0,1.0,0.6
Q7,E12214075_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12214098_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12214107_Q7,10.0,4.0,4.0,-6.0,-6.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.87,0.1477,0.0,0.5,0.2
Q7,E12214171_Q7,10.0,5.2,5.7,-4.8,-4.3,0.5,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.892298,0.3882,0.0,1.0,0.2
Q7,E12214212_Q7,0.0,7.0,7.0,7.0,7.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.91,0.0197,0.105,0.25,1.0
Q7,E12314005_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0588,0.0,1.0,0.6
Q7,E12314013_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314009_Q7,8.0,10.0,10.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314017_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314025_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314021_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314029_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0588,0.0,1.0,0.6
Q7,E12314037_Q7,8.0,6.8,7.5,-1.2000000000000002,-0.5,0.7000000000000002,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.938964,0.193,0.0,0.0,0.8
Q7,E12314033_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314041_Q7,8.0,7.7,7.7,-0.2999999999999998,-0.2999999999999998,0.0,NEG,NO_GATE,NO_GATE,hard_neg:large_score_spread,large_score_spread,lenient_undercredit_review,0.824504,0.0941,0.0,1.0,0.2
Q7,E12314045_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0588,0.0,1.0,0.6
Q7,E12314053_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314049_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314057_Q7,8.0,6.3,6.3,-1.7000000000000002,-1.7000000000000002,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.877929,0.0722,0.0,0.5,0.6
Q7,E12314061_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314065_Q7,7.0,3.3,3.3,-3.7,-3.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.867929,0.059,0.0,0.25,0.2
Q7,E12314073_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314069_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314077_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314081_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0588,0.0,1.0,0.6
Q7,E12314085_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314089_Q7,0.0,2.0,2.0,2.0,2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.825,0.0,0.0,0.0,0.4
Q7,E12314097_Q7,5.0,5.7,5.7,0.7000000000000002,0.7000000000000002,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.871262,0.0,0.0,0.0,1.0
Q7,E12314101_Q7,0.0,2.0,2.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.87,0.0,0.0,0.0,0.4
Q7,E12314093_Q7,10.0,4.0,4.0,-6.0,-6.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.87,0.1477,0.0,0.5,0.2
Q7,E12314105_Q7,8.0,8.0,8.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.93,0.0164,0.16,0.5,1.0
Q7,E12314109_Q7,8.0,6.7,7.4,-1.2999999999999998,-0.5999999999999996,0.7000000000000002,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.927929,0.2044,0.0,0.0,0.8
Q7,E12314117_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314121_Q7,8.0,7.8,7.8,-0.20000000000000018,-0.20000000000000018,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.918964,0.023,0.156,0.5,1.0
Q7,E12314113_Q7,4.0,5.0,5.0,1.0,1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.88,0.0737,0.0,0.5,0.6
Q7,E12314125_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314129_Q7,2.0,6.7,6.7,4.7,4.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.887929,0.0474,0.0,0.5,1.0
Q7,E12314133_Q7,0.0,7.0,7.0,7.0,7.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.881086,0.0395,0.21,0.5,1.0
Q7,E12314141_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314137_Q7,10.0,5.7,6.4,-4.3,-3.5999999999999996,0.7000000000000002,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.893965,0.3179,0.0,1.0,0.2
Q7,E12314149_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314153_Q7,5.0,7.7,7.7,2.7,2.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.901262,0.0263,0.154,0.5,1.0
Q7,E12314145_Q7,6.0,6.0,6.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.9,0.1231,0.0,0.75,0.6
Q7,E12314157_Q7,8.0,8.0,8.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.94,0.0176,0.16,0.5,1.0
Q7,E12314165_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314161_Q7,8.0,6.3,6.3,-1.7000000000000002,-1.7000000000000002,0.0,BND,reject_lower,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.894596,0.2407,0.0,0.5,0.6
Q7,E12314169_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314177_Q7,6.0,9.0,9.0,3.0,3.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.98,0.0,0.135,0.75,1.0
Q7,E12314181_Q7,10.0,7.3,7.3,-2.7,-2.7,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.908146,0.1412,0.0,0.75,0.6
Q7,E12314185_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314193_Q7,10.0,8.7,8.7,-1.3000000000000007,-1.3000000000000007,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.925858,0.0,0.0,1.0,0.6
Q7,E12314189_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314205_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314201_Q7,10.0,7.3,8.0,-2.7,-2.0,0.7000000000000002,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.895858,0.1412,0.0,1.0,0.6
Q7,E12314209_Q7,5.0,6.0,6.0,1.0,1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.91,0.079,0.0,0.0,0.8
Q7,E12314217_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0
Q7,E12314213_Q7,5.0,5.8,6.3,0.7999999999999998,1.2999999999999998,-0.5,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.884813,0.0853,0.0,0.0,0.8
Q7,WA2324049_Q7,9.0,8.8,8.8,-0.1999999999999993,-0.1999999999999993,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.968965,0.0,0.132,0.75,1.0
Q7,E12314221_Q7,8.0,8.0,8.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.93,0.0164,0.16,0.5,1.0
