question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,boundary_action
Q6,E12314085,9.0,5.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.09,keep_minor_change
Q6,E12314089,6.0,5.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.09,keep_minor_change
Q6,E12314093,4.0,4.0,4.3,4.3,4.3,0.0,0.3,0.3,0.3,-0.3,0.0,0.0,0.0,-0.3,POS,,,,,,0.4714,0.55,
Q6,E12314097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,1.0,
Q6,E12314101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.55,keep_minor_change
Q6,E12314105,12.0,6.0,8.0,8.0,9.4,-6.0,-4.0,-4.0,-2.6,2.0,0.0,1.4,1.4,3.4,BND,,,,,,1.4142,0.09,small_raise
Q6,E12314109,3.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12314113,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.27,
Q6,E12314117,8.0,2.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12314121,10.0,3.0,7.0,7.0,7.0,-7.0,-3.0,-3.0,-3.0,4.0,0.0,0.0,0.0,4.0,BND,,,,,,2.8284,0.0,reject_lower
Q6,E12314125,2.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,1.4142,0.09,reject_raise
Q6,E12314129,11.0,6.0,6.0,6.0,6.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.27,
Q6,E12314133,2.0,2.0,2.3,2.3,2.3,0.0,0.3,0.3,0.3,-0.3,0.0,0.0,0.0,-0.3,POS,,,,,,0.4714,0.64,
Q6,E12314137,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12314141,14.0,11.0,10.3,10.3,11.3,-3.0,-3.7,-3.7,-2.7,-0.7,0.0,1.0,1.0,0.3,BND,,,,,,0.4714,0.09,small_raise
Q6,E12314145,1.0,3.0,3.3,3.3,3.3,2.0,2.3,2.3,2.3,-0.3,0.0,0.0,0.0,-0.3,BND,,,,,,0.4714,0.09,reject_raise
Q6,E12314149,14.0,8.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.09,keep_minor_change
Q6,E12314153,8.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.36,keep_minor_change
Q6,E12314157,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12314165,12.0,5.0,6.3,6.3,6.3,-7.0,-5.7,-5.7,-5.7,1.3,0.0,0.0,0.0,1.3,BND,,,,,,1.8856,0.09,reject_raise
Q6,E12314169,10.0,5.0,6.0,6.0,6.0,-5.0,-4.0,-4.0,-4.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,1.4142,0.09,reject_raise
Q6,E12314177,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.09,keep_minor_change
Q6,E12314181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.64,keep_minor_change
Q6,E12314185,14.0,8.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.0,keep_minor_change
Q6,E12314189,12.0,8.0,8.0,8.0,8.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.18,keep_minor_change
Q6,E12314193,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12314201,18.0,14.0,14.0,14.0,14.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q6,E12314205,10.0,7.0,7.7,7.7,7.7,-3.0,-2.3,-2.3,-2.3,0.7,0.0,0.0,0.0,0.7,POS,,,,,,0.9428,0.0,
Q6,E12314209,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.36,keep_minor_change
Q6,E12314213,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.36,keep_minor_change
Q6,E12314217,12.0,5.0,6.0,6.0,6.0,-7.0,-6.0,-6.0,-6.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,0.8165,0.09,reject_raise
Q6,E12314221,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.55,
Q6,WA2324049,8.0,6.0,4.0,4.0,4.0,-2.0,-4.0,-4.0,-4.0,-2.0,0.0,0.0,0.0,-2.0,BND,,,,,,1.4142,0.09,reject_raise
Q7,E01914115,8.0,10.0,9.3,9.3,9.3,2.0,1.3,1.3,1.3,0.7,0.0,0.0,0.0,0.7,POS,,,,,,0.4714,0.0,
Q7,E01914214,2.0,4.0,3.8,3.8,3.8,2.0,1.8,1.8,1.8,0.2,0.0,0.0,0.0,0.2,POS,,,,,,0.2828,0.6,
Q7,E01914290,8.0,6.5,6.8,6.8,6.8,-1.5,-1.2,-1.2,-1.2,0.3,0.0,0.0,0.0,0.3,BND,,,,,,0.2357,0.0,keep_minor_change
Q7,E02014181,2.0,6.0,5.3,5.3,5.3,4.0,3.3,3.3,3.3,0.7,0.0,0.0,0.0,0.7,BND,,,,,,0.9428,0.0,reject_raise
Q7,E12214006,10.0,9.0,9.3,9.3,9.3,-1.0,-0.7,-0.7,-0.7,0.3,0.0,0.0,0.0,0.3,POS,,,,,,0.4714,0.0,
Q7,E12214023,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214062,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214075,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214091,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214098,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214107,10.0,7.0,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.0,keep_minor_change
Q7,E12214171,10.0,9.5,9.5,9.5,9.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12214212,0.0,8.0,8.2,8.2,8.2,8.0,8.2,8.2,8.2,-0.2,0.0,0.0,0.0,-0.2,POS,,,,,,0.6236,0.0,
Q7,E12314005,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314009,8.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314013,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314017,10.0,9.4,9.8,9.8,9.8,-0.6,-0.2,-0.2,-0.2,0.4,0.0,0.0,0.0,0.4,POS,,,,,,0.2828,0.0,
Q7,E12314021,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314025,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314029,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314033,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314037,8.0,7.0,6.7,6.7,6.7,-1.0,-1.3,-1.3,-1.3,-0.3,0.0,0.0,0.0,-0.3,BND,,,,,,0.4714,0.0,keep_minor_change
Q7,E12314041,8.0,6.0,6.0,6.0,6.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.2,keep_minor_change
Q7,E12314045,10.0,8.0,9.3,9.3,9.3,-2.0,-0.7,-0.7,-0.7,1.3,0.0,0.0,0.0,1.3,POS,,,,,,0.9428,0.2,
Q7,E12314049,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314053,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314057,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.0,keep_minor_change
Q7,E12314061,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314065,7.0,3.0,3.3,3.3,3.3,-4.0,-3.7,-3.7,-3.7,0.3,0.0,0.0,0.0,0.3,POS,,,,,,0.4714,0.6,
Q7,E12314069,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314073,10.0,9.5,9.5,9.5,9.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314077,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314081,10.0,9.5,9.8,9.8,9.8,-0.5,-0.2,-0.2,-0.2,0.3,0.0,0.0,0.0,0.3,POS,,,,,,0.2357,0.0,
Q7,E12314085,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314089,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.3,keep_minor_change
Q7,E12314093,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314097,5.0,7.0,6.7,6.7,6.7,2.0,1.7,1.7,1.7,0.3,0.0,0.0,0.0,0.3,BND,,,,,,0.4714,0.0,keep_minor_change
Q7,E12314101,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.6,
Q7,E12314105,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.8165,0.0,keep_minor_change
Q7,E12314109,8.0,7.0,7.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.0,keep_minor_change
Q7,E12314113,4.0,8.0,8.3,8.3,7.3,4.0,4.3,4.3,3.3,-0.3,0.0,1.0,1.0,0.7,BND,,,,,,0.4714,0.0,large_lower
Q7,E12314117,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314121,8.0,7.5,7.7,7.7,7.7,-0.5,-0.3,-0.3,-0.3,0.2,0.0,0.0,0.0,0.2,BND,,,,,,0.2357,0.0,keep_minor_change
Q7,E12314125,10.0,8.7,8.7,8.7,8.7,-1.3,-1.3,-1.3,-1.3,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314129,2.0,7.0,6.7,6.7,6.7,5.0,4.7,4.7,4.7,0.3,0.0,0.0,0.0,0.3,BND,,,,,,0.2357,0.0,keep_minor_change
Q7,E12314133,0.0,9.0,8.9,8.9,8.9,9.0,8.9,8.9,8.9,0.1,0.0,0.0,0.0,0.1,POS,,,,,,0.1414,0.0,
Q7,E12314137,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314141,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314145,6.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314149,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314153,5.0,7.0,7.3,7.3,6.3,2.0,2.3,2.3,1.3,-0.3,0.0,1.0,1.0,0.7,BND,,,,,,0.4714,0.0,large_lower
Q7,E12314157,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.2,keep_minor_change
Q7,E12314161,8.0,5.0,6.0,6.0,6.0,-3.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,0.8165,0.0,reject_raise
Q7,E12314165,10.0,10.0,9.8,9.8,9.8,0.0,-0.2,-0.2,-0.2,-0.2,0.0,0.0,0.0,-0.2,POS,,,,,,0.2357,0.0,
Q7,E12314169,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314177,6.0,9.0,8.8,8.8,8.8,3.0,2.8,2.8,2.8,0.2,0.0,0.0,0.0,0.2,POS,,,,,,0.2357,0.0,
Q7,E12314181,10.0,7.0,8.3,8.3,8.3,-3.0,-1.7,-1.7,-1.7,1.3,0.0,0.0,0.0,1.3,BND,,,,,,0.9428,0.0,reject_raise
Q7,E12314185,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314189,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314193,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314201,10.0,10.0,9.8,9.8,9.8,0.0,-0.2,-0.2,-0.2,-0.2,0.0,0.0,0.0,-0.2,POS,,,,,,0.2357,0.0,
Q7,E12314205,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314209,5.0,6.7,5.2,5.2,5.2,1.7,0.2,0.2,0.2,1.5,0.0,0.0,0.0,1.5,BND,,,,,,1.1146,0.0,reject_raise
Q7,E12314213,5.0,5.0,5.2,5.2,5.2,0.0,0.2,0.2,0.2,-0.2,0.0,0.0,0.0,-0.2,BND,,,,,,0.2357,0.0,keep_minor_change
Q7,E12314217,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q7,E12314221,8.0,8.0,8.3,8.3,7.3,0.0,0.3,0.3,-0.7,-0.3,0.0,-0.4,-0.4,-0.7,BND,,,,,,0.4714,0.0,large_lower
Q7,WA2324049,9.0,10.0,9.8,9.8,9.8,1.0,0.8,0.8,0.8,0.2,0.0,0.0,0.0,0.2,POS,,,,,,0.2357,0.0,
