qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,gate,accepted,a3_reason,hard_neg,rules,mu,lenient,unsupported_high,result_strong,result_correct,method,direct_ratio,direct_awarded,bare_answer
Q6,E12314025_Q6,14.0,11.7,12.7,-2.3,-1.3,1.0,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.938661,0.2525,0.0,0.4,0.9,0.9,0.0,0.0,0.09
Q6,E12314029_Q6,4.0,2.7,2.7,-1.3,-1.3,0.0,BND,reject_lower,False,beta_lt_confidence_lt_alpha,,,0.794293,0.0061,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314033_Q6,18.0,9.0,10.4,-9.0,-7.6,1.4,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.860227,0.2415,0.0,0.35,0.75,0.75,0.0,0.0,0.1875
Q6,E12314037_Q6,20.0,12.0,15.0,-8.0,-5.0,3.0,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.890227,0.2299,0.0,0.5,0.9,0.9,0.0,0.0,0.09
Q6,E12314041_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.856364,0.0699,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12314045_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314053_Q6,14.0,8.3,8.3,-5.7,-5.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.848965,0.0647,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12314057_Q6,5.0,6.0,6.0,1.0,1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.821818,0.0501,0.0,0.3,0.3,0.3,0.0,0.0,0.21
Q6,E12314061_Q6,14.0,10.7,12.1,-3.3,-1.9,1.4,BND,auto_small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.878965,0.1374,0.0,0.5,0.65,0.65,0.0,0.0,0.2275
Q6,E12314049_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0669,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12314069_Q6,19.0,12.3,12.3,-6.7,-6.7,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.895328,0.0891,0.0,0.6,0.6,0.6,0.0,0.0,0.24
Q6,E12314065_Q6,14.0,8.7,8.7,-5.3,-5.3,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.858661,0.105,0.0,0.4,0.5,0.5,0.0,0.0,0.25
Q6,E12314073_Q6,8.0,7.3,7.3,-0.7,-0.7,0.0,BND,reject_lower,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.840873,0.1034,0.0,0.45,0.45,0.45,0.0,0.0,0.2475
Q6,E12314077_Q6,14.0,12.0,15.0,-2.0,1.0,1.0,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.890227,0.2299,0.0,0.5,0.9,0.9,0.0,0.0,0.09
Q6,E12314085_Q6,9.0,5.0,5.0,-4.0,-4.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314081_Q6,14.0,11.7,14.7,-2.3,0.7,1.6,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.884813,0.1856,0.0,0.5,0.8,0.8,0.0,0.0,0.16
Q6,E12314089_Q6,6.0,3.0,3.0,-3.0,-3.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314097_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314093_Q6,4.0,4.7,4.7,0.7,0.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85048,0.0594,0.0,0.2,0.3,0.3,0.0,0.0,0.21
Q6,E12314101_Q6,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.821515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314109_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314105_Q6,12.0,8.0,9.4,-4.0,-2.6,1.4,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.85659,0.2413,0.0,0.3,0.7,0.7,0.0,0.0,0.21
Q6,E12314113_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.829091,0.0073,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314117_Q6,8.0,2.0,2.0,-6.0,-6.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314121_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.82,0.0325,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314129_Q6,11.0,6.0,6.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.875455,0.0542,0.0,0.3,0.3,0.3,0.0,0.0,0.21
Q6,E12314125_Q6,2.0,0.0,0.0,-2.0,-2.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.776364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314133_Q6,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.851212,0.0077,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314137_Q6,6.0,4.7,4.7,-1.3,-1.3,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.796414,0.0239,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12314141_Q6,14.0,10.7,10.7,-3.3,-3.3,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.918661,0.2289,0.0,0.4,0.8,0.8,0.0,0.0,0.16
Q6,E12314145_Q6,1.0,3.0,3.0,2.0,2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.795455,0.0146,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314149_Q6,14.0,9.0,9.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.849924,0.0621,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12314153_Q6,8.0,4.0,4.0,-4.0,-4.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12314157_Q6,4.0,5.0,5.0,1.0,1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.819091,0.0356,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314161_Q6,8.0,3.7,3.7,-4.3,-4.3,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.784596,0.0124,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314169_Q6,10.0,6.0,6.0,-4.0,-4.0,0.0,BND,reject_lower,False,beta_lt_confidence_lt_alpha,,,0.819924,0.0312,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314165_Q6,12.0,8.3,9.7,-3.7,-2.3,1.4,BND,small_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.86451,0.1973,0.0,0.25,0.65,0.65,0.0,0.0,0.2275
Q6,E12314173_Q6,8.0,3.0,3.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314181_Q6,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.824545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314177_Q6,0.0,2.0,2.0,2.0,2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.818182,0.0073,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314189_Q6,12.0,9.0,9.0,-3.0,-3.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.84356,0.0595,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12314185_Q6,14.0,9.0,9.0,-5.0,-5.0,0.0,BND,reject_raise,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.85221,0.0971,0.0,0.4,0.5,0.5,0.0,0.0,0.25
Q6,E12314193_Q6,2.0,0.0,0.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.761818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314201_Q6,18.0,11.3,11.3,-6.7,-6.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.859191,0.0692,0.0,0.5,0.5,0.5,0.0,0.0,0.25
Q6,E12314205_Q6,10.0,10.0,10.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.92,0.2114,0.0,0.35,0.75,0.75,0.0,0.0,0.1875
Q6,E12314209_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12314213_Q6,5.0,5.0,5.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.829091,0.0364,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314221_Q6,5.0,4.0,4.0,-1.0,-1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.838182,0.0263,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,WA2324049_Q6,8.0,3.0,3.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314217_Q6,12.0,6.3,6.3,-5.7,-5.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.835328,0.0448,0.0,0.3,0.3,0.3,0.0,0.0,0.21
Q7,E01914115_Q7,8.0,10.0,10.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E01914214_Q7,2.0,4.2,4.2,2.2,2.2,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.865631,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0
Q7,E01914290_Q7,8.0,5.2,5.2,-2.8,-2.8,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.861479,0.0,0.0,0.0,0.0,0.2,0.5,0.8,0.0
Q7,E12214006_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214023_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214062_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214075_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E02014181_Q7,2.0,5.2,5.2,3.2,3.2,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.865631,0.0641,0.0,0.5,0.5,0.4,0.5,0.6,0.3
Q7,E12214091_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214098_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214107_Q7,10.0,7.8,7.8,-2.2,-2.2,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.918964,0.023,0.156,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12214171_Q7,10.0,9.5,9.5,-0.5,-0.5,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12214212_Q7,0.0,8.0,8.0,8.0,8.0,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.93,0.0164,0.16,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12314005_Q7,10.0,9.0,9.0,-1.0,-1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.985,0.0,0.0,1.0,1.0,1.0,0.5,0.8,0.0
Q7,E12314013_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314009_Q7,8.0,9.7,9.7,1.7,1.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.977929,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314021_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314017_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314025_Q7,10.0,9.8,9.8,-0.2,-0.2,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.986758,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314029_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314033_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314037_Q7,8.0,7.0,7.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.95,0.1703,0.0,0.0,1.0,1.0,0.5,0.8,0.0
Q7,E12314041_Q7,8.0,9.3,9.3,1.3,1.3,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.977929,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0
Q7,E12314049_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314045_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314053_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314061_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314057_Q7,8.0,8.3,8.3,0.3,0.3,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.964596,0.0235,0.0,0.5,1.0,1.0,0.5,1.0,0.0
Q7,E12314065_Q7,7.0,3.0,3.0,-4.0,-4.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.89,0.0624,0.0,0.25,0.25,0.4,0.5,0.2,0.15
Q7,E12314073_Q7,10.0,9.5,9.5,-0.5,-0.5,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,0.75,1.0,1.0,0.5,1.0,0.0
Q7,E12314069_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314077_Q7,10.0,9.8,9.8,-0.2,-0.2,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.988965,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314081_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314085_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314089_Q7,0.0,2.0,2.0,2.0,2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.825,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0
Q7,E12314093_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.93,0.0164,0.16,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12314101_Q7,0.0,2.0,2.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.87,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0
Q7,E12314097_Q7,5.0,6.0,6.0,1.0,1.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.9,0.0,0.0,0.0,0.0,0.2,0.5,1.0,0.0
Q7,E12314105_Q7,8.0,8.0,8.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.93,0.0164,0.16,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12314109_Q7,8.0,6.7,6.7,-1.3,-1.3,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.927929,0.2044,0.0,0.0,1.0,1.0,0.5,0.8,0.0
Q7,E12314117_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314121_Q7,8.0,6.7,6.7,-1.3,-1.3,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.918964,0.0591,0.0,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12314125_Q7,10.0,9.6,9.6,-0.4,-0.4,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.972048,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314129_Q7,2.0,5.2,5.2,3.2,3.2,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.870631,0.0334,0.0,0.25,0.25,0.2,0.5,0.8,0.2
Q7,E12314113_Q7,4.0,4.7,4.7,0.7,0.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.829625,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
Q7,E12314137_Q7,10.0,9.7,9.7,-0.3,-0.3,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.988965,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314133_Q7,0.0,7.5,7.5,7.5,7.5,0.0,BND,reject_raise,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.895227,0.0137,0.1125,0.25,0.25,0.4,0.5,1.0,0.15
Q7,E12314141_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314149_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314145_Q7,6.0,8.0,8.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.93,0.0246,0.24,0.75,0.75,0.6,0.5,1.0,0.3
Q7,E12314157_Q7,8.0,8.0,8.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.94,0.0176,0.16,0.5,0.5,0.6,0.5,1.0,0.2
Q7,E12314153_Q7,5.0,7.0,7.0,2.0,2.0,0.0,BND,keep_minor_change,False,high_confidence_weak_result_high_score_review,,weak_result_high_score_review,0.91,0.0395,0.21,0.5,0.5,0.4,0.5,1.0,0.3
Q7,E12314165_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314161_Q7,8.0,6.7,6.7,-1.3,-1.3,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.894596,0.1969,0.0,0.5,1.0,1.0,0.5,0.6,0.0
Q7,E12314177_Q7,6.0,9.0,9.0,3.0,3.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.98,0.0,0.135,0.75,0.75,0.8,0.5,1.0,0.15
Q7,E12314181_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314169_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
Q7,E12314189_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0
