qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,a3_route,gate_action,gate_accepted,gate_reason,mu,risk,reason,rules,lenient,unsupported_high,result,result_strong,method,direct,blank,fatal
Q6,E12314097_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,POS,,,,0.85,0.15,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6,E12314101_Q6,0.0,0.0,0.0,0.0,0.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.808182,0.191818,beta_lt_confidence_lt_alpha,,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55
Q6,E12314105_Q6,12.0,7.0,7.0,-5.0,-5.0,0.0,POS,POS,,,,0.829924,0.170076,confidence_ge_alpha,,0.0418,0.0,0.3,0.3,0.3,0.0,0.09,0.4667
Q6,E12314109_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.781818,0.218182,beta_lt_confidence_lt_alpha,,0.007,0.0,0.1,0.1,0.1,0.0,0.45,0.6
Q6,E12314113_Q6,3.0,4.7,6.0,1.7000000000000002,3.0,-1.2999999999999998,BND,BND,small_raise,True,supported_undercredit_evidence,0.80702,0.19298,beta_lt_confidence_lt_alpha,,0.0229,0.0,0.2,0.2,0.2,0.0,0.27,0.5
Q6,E12314117_Q6,8.0,2.0,2.0,-6.0,-6.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.781818,0.218182,beta_lt_confidence_lt_alpha,,0.007,0.0,0.1,0.1,0.1,0.0,0.45,0.6
Q6,E12314125_Q6,2.0,2.7,4.1,0.7000000000000002,2.0999999999999996,-1.3999999999999995,BND,BND,small_raise,True,supported_undercredit_evidence,0.794293,0.205707,beta_lt_confidence_lt_alpha,,0.0061,0.0,0.1,0.1,0.1,0.0,0.09,0.7
Q6,E12314129_Q6,11.0,6.0,6.0,-5.0,-5.0,0.0,POS,POS,,,,0.875455,0.124545,confidence_ge_alpha,,0.0542,0.0,0.3,0.3,0.3,0.0,0.36,0.2
Q6,E12314133_Q6,2.0,4.0,4.0,2.0,2.0,0.0,POS,POS,,,,0.864545,0.135455,confidence_ge_alpha,,0.0279,0.0,0.2,0.2,0.2,0.0,0.64,0.2
Q6,E12314137_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12314141_Q6,14.0,10.3,11.3,-3.6999999999999993,-2.6999999999999993,1.0,BND,BND,medium_raise,True,supported_lenient_undercredit_evidence,0.911995,0.088005,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1796,0.0,0.7,0.4,0.7,0.0,0.09,0.1667
Q6,E12314145_Q6,1.0,4.0,4.0,3.0,3.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.795455,0.204545,beta_lt_confidence_lt_alpha,,0.0242,0.0,0.2,0.2,0.2,0.0,0.36,0.6
Q6,E12314149_Q6,14.0,9.0,9.0,-5.0,-5.0,0.0,POS,POS,,,,0.849924,0.150076,confidence_ge_alpha,,0.0621,0.0,0.4,0.4,0.4,0.0,0.09,0.3667
Q6,E12314153_Q6,8.0,4.0,4.0,-4.0,-4.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.805455,0.194545,beta_lt_confidence_lt_alpha,,0.0247,0.0,0.2,0.2,0.2,0.0,0.36,0.55
Q6,E12314157_Q6,4.0,5.0,5.0,1.0,1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.815455,0.184545,beta_lt_confidence_lt_alpha,,0.0364,0.0,0.25,0.25,0.25,0.0,0.36,0.5
Q6,E12314165_Q6,12.0,5.0,5.0,-7.0,-7.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.826364,0.173636,beta_lt_confidence_lt_alpha,,0.0341,0.0,0.25,0.25,0.25,0.0,0.09,0.65
Q6,E12314169_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.826364,0.173636,beta_lt_confidence_lt_alpha,,0.0341,0.0,0.25,0.25,0.25,0.0,0.09,0.65
Q6,E12314177_Q6,0.0,5.7,5.7,5.7,5.7,0.0,POS,POS,,,,0.828661,0.171339,confidence_ge_alpha,,0.0658,0.0,0.35,0.25,0.35,0.0,0.09,0.5833
Q6,E12314181_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,POS,,,,0.830909,0.169091,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.3
Q6,E12314185_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,POS,,,,0.85,0.15,confidence_ge_alpha,,0.0669,0.0,0.4,0.4,0.4,0.0,0.0,0.6
Q6,E12314189_Q6,12.0,8.7,8.7,-3.3000000000000007,-3.3000000000000007,0.0,POS,POS,,,,0.847929,0.152071,confidence_ge_alpha,,0.0617,0.0,0.4,0.4,0.4,0.0,0.0,0.5
Q6,E12314201_Q6,18.0,14.3,14.3,-3.6999999999999993,-3.6999999999999993,0.0,POS,POS,,,,0.908964,0.091035,confidence_ge_alpha,,0.0697,0.1502,0.7,0.7,0.7,0.0,0.0,0.25
Q6,E12314205_Q6,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.83356,0.16644,confidence_ge_alpha,,0.0501,0.0,0.35,0.35,0.35,0.0,0.0,0.5167
Q6,E12314209_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12314213_Q6,5.0,4.0,4.0,-1.0,-1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.805455,0.194545,beta_lt_confidence_lt_alpha,,0.0247,0.0,0.2,0.2,0.2,0.0,0.36,0.55
Q6,E12314217_Q6,12.0,7.0,8.4,-5.0,-3.5999999999999996,1.4000000000000004,BND,BND,small_raise,True,supported_undercredit_evidence,0.82659,0.17341,beta_lt_confidence_lt_alpha,,0.0418,0.0,0.3,0.3,0.3,0.0,0.09,0.4833
Q6,E12314221_Q6,5.0,4.0,4.0,-1.0,-1.0,0.0,POS,POS,,,,0.854545,0.145455,confidence_ge_alpha,,0.0279,0.0,0.2,0.2,0.2,0.0,0.64,0.25
Q7,E01914115_Q7,8.0,9.3,9.3,1.3000000000000007,1.3000000000000007,0.0,POS,POS,,,,0.942525,0.057475,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0667
Q7,E01914214_Q7,2.0,4.0,4.0,2.0,2.0,0.0,POS,POS,,,,0.91,0.09,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0
Q7,E01914290_Q7,8.0,6.0,6.7,-2.0,-1.2999999999999998,0.7000000000000002,BND,BND,auto_small_raise,True,lenient_undercredit_without_agent_delta,0.935,0.065,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.2271,0.0,1.0,0.0,0.8,0.8,0.1,0.1
Q7,E02014181_Q7,2.0,7.0,7.0,5.0,5.0,0.0,BND,BND,reject_lower,False,lower_without_sufficient_unsupported_high_score_evidence,0.881086,0.118914,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.0948,0.105,0.75,0.5,0.8,0.6,0.0,0.2333
Q7,E12214006_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12214023_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12214062_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12214075_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12214091_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0588,0.0,1.0,1.0,1.0,0.6,0.2,0.0
Q7,E12214098_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12214107_Q7,10.0,4.0,4.0,-6.0,-6.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.87,0.13,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1477,0.0,0.5,0.5,0.6,0.2,0.4,0.2
Q7,E12214171_Q7,10.0,5.2,5.7,-4.8,-4.3,0.5,BND,BND,medium_raise,True,supported_lenient_undercredit_evidence,0.892298,0.107702,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.3882,0.0,1.0,1.0,1.0,0.2,0.4,0.0333
Q7,E12214212_Q7,0.0,7.0,7.0,7.0,7.0,0.0,POS,POS,,,,0.91,0.09,confidence_ge_alpha,,0.0197,0.105,0.25,0.25,0.4,1.0,0.0,0.3
Q7,E12314005_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0588,0.0,1.0,1.0,1.0,0.6,0.2,0.0
Q7,E12314009_Q7,8.0,10.0,10.0,2.0,2.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314013_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314017_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314021_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314025_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314029_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0588,0.0,1.0,1.0,1.0,0.6,0.2,0.0
Q7,E12314033_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314037_Q7,8.0,6.8,7.5,-1.2000000000000002,-0.5,0.7000000000000002,BND,BND,auto_small_raise,True,lenient_undercredit_without_agent_delta,0.938964,0.061035,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.193,0.0,1.0,0.0,1.0,0.8,0.0,0.1
Q7,E12314045_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0588,0.0,1.0,1.0,1.0,0.6,0.2,0.0
Q7,E12314049_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314053_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314057_Q7,8.0,6.3,6.3,-1.7000000000000002,-1.7000000000000002,0.0,POS,POS,,,,0.877929,0.122071,confidence_ge_alpha,,0.0722,0.0,0.5,0.5,0.6,0.6,0.2,0.2
Q7,E12314061_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314065_Q7,7.0,3.3,3.3,-3.7,-3.7,0.0,POS,POS,,,,0.867929,0.132071,confidence_ge_alpha,,0.059,0.0,0.25,0.25,0.4,0.2,0.6,0.1
Q7,E12314069_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314073_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314077_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314081_Q7,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0588,0.0,1.0,1.0,1.0,0.6,0.2,0.0
Q7,E12314085_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314089_Q7,0.0,2.0,2.0,2.0,2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.825,0.175,beta_lt_confidence_lt_alpha,,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.5
Q7,E12314093_Q7,10.0,4.0,4.0,-6.0,-6.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.87,0.13,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1477,0.0,0.5,0.5,0.6,0.2,0.4,0.2
Q7,E12314097_Q7,5.0,5.7,5.7,0.7000000000000002,0.7000000000000002,0.0,POS,POS,,,,0.871262,0.128738,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.2333
Q7,E12314101_Q7,0.0,2.0,2.0,2.0,2.0,0.0,POS,POS,,,,0.87,0.13,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.2
Q7,E12314105_Q7,8.0,8.0,8.0,0.0,0.0,0.0,POS,POS,,,,0.93,0.07,confidence_ge_alpha,,0.0164,0.16,0.5,0.5,0.6,1.0,0.0,0.2
Q7,E12314109_Q7,8.0,6.7,7.4,-1.2999999999999998,-0.5999999999999996,0.7000000000000002,BND,BND,auto_small_raise,True,lenient_undercredit_without_agent_delta,0.927929,0.072071,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.2044,0.0,1.0,0.0,1.0,0.8,0.0,0.1
Q7,E12314113_Q7,4.0,5.0,5.0,1.0,1.0,0.0,POS,POS,,,,0.88,0.12,confidence_ge_alpha,,0.0737,0.0,0.5,0.5,0.4,0.6,0.2,0.3
Q7,E12314117_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314121_Q7,8.0,7.8,7.8,-0.20000000000000018,-0.20000000000000018,0.0,POS,POS,,,,0.918964,0.081035,confidence_ge_alpha,,0.023,0.156,0.5,0.5,0.6,1.0,0.0,0.2
Q7,E12314125_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314129_Q7,2.0,6.7,6.7,4.7,4.7,0.0,POS,POS,,,,0.887929,0.112071,confidence_ge_alpha,,0.0474,0.0,0.5,0.5,0.4,1.0,0.0,0.3
Q7,E12314133_Q7,0.0,7.0,7.0,7.0,7.0,0.0,POS,POS,,,,0.881086,0.118914,confidence_ge_alpha,,0.0395,0.21,0.5,0.5,0.4,1.0,0.0,0.2333
Q7,E12314137_Q7,10.0,5.7,6.4,-4.3,-3.5999999999999996,0.7000000000000002,BND,BND,auto_small_raise,True,lenient_undercredit_without_agent_delta,0.893965,0.106035,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.3179,0.0,1.0,1.0,1.0,0.2,0.3,0.1
Q7,E12314141_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314145_Q7,6.0,6.0,6.0,0.0,0.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.9,0.1,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1231,0.0,0.75,0.75,0.6,0.6,0.2,0.2
Q7,E12314149_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314153_Q7,5.0,7.7,7.7,2.7,2.7,0.0,POS,POS,,,,0.901262,0.098738,confidence_ge_alpha,,0.0263,0.154,0.5,0.5,0.6,1.0,0.0,0.2333
Q7,E12314157_Q7,8.0,8.0,8.0,0.0,0.0,0.0,POS,POS,,,,0.94,0.06,confidence_ge_alpha,,0.0176,0.16,0.5,0.5,0.6,1.0,0.2,0.0
Q7,E12314161_Q7,8.0,6.3,6.3,-1.7000000000000002,-1.7000000000000002,0.0,BND,BND,reject_lower,False,lower_without_sufficient_unsupported_high_score_evidence,0.894596,0.105404,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.2407,0.0,1.0,0.5,1.0,0.6,0.0,0.2667
Q7,E12314165_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314169_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314177_Q7,6.0,9.0,9.0,3.0,3.0,0.0,POS,POS,,,,0.98,0.02,confidence_ge_alpha,,0.0,0.135,0.75,0.75,0.8,1.0,0.0,0.1
Q7,E12314181_Q7,10.0,7.3,7.3,-2.7,-2.7,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.908146,0.091854,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1412,0.0,1.0,0.75,1.0,0.6,0.2,0.0
Q7,E12314185_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314189_Q7,10.0,10.0,10.0,0.0,0.0,0.0,POS,POS,,,,1.0,0.0,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Q7,E12314193_Q7,10.0,8.7,8.7,-1.3000000000000007,-1.3000000000000007,0.0,POS,POS,,,,0.925858,0.074142,confidence_ge_alpha,,0.0,0.0,1.0,1.0,1.0,0.6,0.2,0.0
