question,student_id,teacher_score,model_avg_score,selected_baseline_score,final_calibrated_score,diff_final_minus_teacher,abs_error,route,blank_rate,unwritten_count,boundary_action,baseline_policy,facts_brief,diagnosis
Q2,E12314157_Q2,18.0,7.7,7.7,7.7,-10.3,10.3,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""5"", ""3"": ""4"", ""4"": ""3"", ""5"": ""2"", ""6"": ""1"", ""7-1"": ""处理A→处理C"", ""7-2"": ""处理D→处理E"", ""7-3"": ""处理完D级后返回处理C，处理完C级后返回处理E""}",severe_underestimate;equivalent_expression_or_diagram_not_credited
Q2,E12214107_Q2,20.0,10.0,10.0,10.0,-10.0,10.0,BND,0.11,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""未书写"", ""3"": ""ADCEB"", ""4"": ""ADC"", ""5"": ""AD"", ""6"": ""ADCE"", ""7-1"": ""A→B→C"", ""7-2"": ""D→E"", ""7-3"": ""D返回C，C返回B""}",severe_underestimate;equivalent_expression_or_diagram_not_credited;bnd_no_effect;gate_keep_minor_change
Q2,E12314093_Q2,20.0,10.0,10.0,10.0,-10.0,10.0,BND,0.0,0,reject_lower,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01111"", ""4"": ""00111"", ""5"": ""00011"", ""6"": ""00001"", ""7-1"": ""A先处理，然后C"", ""7-2"": ""D先处理，然后E"", ""7-3"": ""处理完D后返回C，处理完C后返回用户程序""}",severe_underestimate;equivalent_expression_or_diagram_not_credited;bnd_no_effect;gate_reject_lower
Q2,E12214023_Q2,20.0,10.0,10.0,11.4,-8.6,8.6,BND,0.33,0,auto_small_raise,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""00000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;gate_auto_small_raise
Q2,E12314185_Q2,20.0,10.0,10.0,11.4,-8.6,8.6,BND,0.33,0,auto_small_raise,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01110"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;gate_auto_small_raise
Q2,E12314045_Q2,15.0,6.7,6.7,6.7,-8.3,8.3,BND,0.33,0,reject_lower,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""00000"", ""4"": ""01010"", ""5"": ""01111"", ""6"": ""01000"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;bnd_no_effect;gate_reject_lower
Q2,E12214098_Q2,20.0,12.0,12.0,12.0,-8.0,8.0,BND,0.33,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""1 1 1 1 1"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 1 0 1"", ""5"": ""0 1 1 1 1"", ""6"": ""0 1 0 0 1"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;bnd_no_effect;gate_keep_minor_change
Q2,E12314085_Q2,20.0,12.0,12.0,12.0,-8.0,8.0,BND,0.33,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;bnd_no_effect;gate_keep_minor_change
Q2,E12314145_Q2,18.0,10.0,10.0,10.0,-8.0,8.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""无"", ""3"": ""C:A,D"", ""4"": ""A,D"", ""5"": ""A"", ""6"": ""A,D,C"", ""7-1"": ""A→B→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级中断后返回C级，处理完C级中断后返回B级""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314037_Q2,18.0,10.3,10.3,10.3,-7.7,7.7,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""00001"", ""4"": ""00111"", ""5"": ""01111"", ""6"": ""00011"", ""7-1"": ""A处理完毕"", ""7-2"": ""D处理完毕"", ""7-3"": ""处理完D级中断后返回到C级中断处理程序；处理完C级中断后返回到B级中断处理程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314205_Q2,20.0,11.3,11.3,12.3,-7.7,7.7,BND,0.33,0,medium_raise,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""00000 01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;gate_medium_raise
Q2,E12314065_Q2,20.0,12.7,12.7,12.7,-7.3,7.3,BND,0.11,0,reject_lower,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""同时A、B、C级中断请求"", ""7-2"": ""同时D、E级中断请求"", ""7-3"": ""未书写""}",severe_underestimate;bnd_no_effect;gate_reject_lower
Q2,E12314029_Q2,20.0,13.0,13.0,13.0,-7.0,7.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01010"", ""6"": ""01011"", ""7-1"": ""A→B(被判断)→C(被判断)→I"", ""7-2"": ""→E→B"", ""7-3"": ""处理完D级中断后返回C，处理完C级中断后返回B""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314141_Q2,15.0,8.3,8.3,8.3,-6.7,6.7,BND,0.33,0,keep_minor_change,model_avg,"{""1"": ""ADCEB"", ""2"": ""B、C、D、E"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""B、C、E"", ""6"": ""未书写"", ""7-1"": ""A→C→B"", ""7-2"": ""E→D"", ""7-3"": ""D→C，C→B""}",severe_underestimate;medium_extraction_blank;bnd_no_effect;gate_keep_minor_change
Q2,E02014181_Q2,15.0,8.7,8.7,8.7,-6.3,6.3,BND,0.0,0,reject_raise,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""DCEB"", ""3"": ""无"", ""4"": ""EB"", ""5"": ""CEB"", ""6"": ""B"", ""7-1"": ""A级先于B、C级处理"", ""7-2"": ""D级先于E级处理"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",severe_underestimate;bnd_no_effect;gate_reject_raise
Q2,E12314193_Q2,15.0,8.7,8.7,8.7,-6.3,6.3,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""B.C.P.E"", ""3"": ""无"", ""4"": ""B,E"", ""5"": ""C,B,E"", ""6"": ""B"", ""7-1"": ""A→D→C→E→B"", ""7-2"": ""D→E"", ""7-3"": ""C, 用户程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E01914115_Q2,18.0,14.0,14.0,12.0,-6.0,6.0,BND,0.0,0,large_lower,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""1 - - - -"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 0 - -"", ""5"": ""0 1 - - -"", ""6"": ""0 - 0 0 1"", ""7-1"": ""A先处理，然后C，然后B"", ""7-2"": ""D先处理，然后E"", ""7-3"": ""处理完D级中断后返回C级中断处理，处理完C级中断后返回用户程序""}",severe_underestimate;gate_large_lower
Q2,E12214062_Q2,18.0,12.0,12.0,12.0,-6.0,6.0,POS,0.0,0,,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""01111"", ""4"": ""11101"", ""5"": ""11011"", ""6"": ""10111"", ""7-1"": ""A先于B、C处理"", ""7-2"": ""D先于E处理"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回B级""}",severe_underestimate
Q2,E12314117_Q2,15.0,8.3,8.3,9.7,-5.3,5.3,BND,0.33,0,small_raise,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""A、D、C、E、B"", ""3"": ""无"", ""4"": ""C、E、B"", ""5"": ""D、C、E、B"", ""6"": ""E、B"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;gate_small_raise
Q2,E12314213_Q2,15.0,9.7,9.7,9.7,-5.3,5.3,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""优先级排列顺序为 A D C E B A为最低优先处理"", ""2"": ""否"", ""3"": ""A1B,C,D"", ""4"": ""#A1D"", ""5"": ""A"", ""6"": ""A1C,D"", ""7-1"": ""A→B→C"", ""7-2"": ""D→E"", ""7-3"": ""返回C级；返回B级""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314049_Q2,20.0,15.0,15.0,15.0,-5.0,5.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""00001"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01010"", ""7-1"": ""A→C→B"", ""7-2"": ""D→E"", ""7-3"": ""D→C, C→A""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314109_Q2,18.0,13.0,13.0,13.0,-5.0,5.0,POS,0.0,0,,model_avg,"{""1"": ""A > D > C > E > B"", ""2"": ""11111"", ""3"": ""00001"", ""4"": ""00111"", ""5"": ""01111"", ""6"": ""00011"", ""7-1"": ""A先于B、C"", ""7-2"": ""D先于E"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",severe_underestimate
Q2,E12314113_Q2,15.0,10.0,10.0,10.0,-5.0,5.0,BND,0.11,0,reject_lower,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""D、C、E、B"", ""3"": ""无."", ""4"": ""未书写"", ""5"": ""C、D、E"", ""6"": ""B"", ""7-1"": ""A→C→B"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",severe_underestimate;bnd_no_effect;gate_reject_lower
Q2,E12314189_Q2,15.0,20.0,20.0,20.0,5.0,5.0,POS,0.0,0,,model_avg,"{""1"": ""顺序A>D>C>E>B"", ""2"": ""1 1 1 1 1"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 1 0 1"", ""5"": ""0 1 1 1 1"", ""6"": ""0 1 0 0 1"", ""7-1"": ""先处理完A，随后B响应优先级高C处理优先级高 B响应后立刻被C打断"", ""7-2"": ""DE请求后，D处理优先级高先处理D，D结束后处理C"", ""7-3"": ""D结束后处理C，C之后E处理优先级高 先E，最后B""}",severe_overestimate
Q2,E12314069_Q2,18.0,13.2,13.2,13.2,-4.8,4.8,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""00000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01000"", ""7-1"": ""A级先于C级"", ""7-2"": ""D级先于E级"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314209_Q2,20.0,16.0,16.0,16.0,-4.0,4.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""11001"", ""6"": ""11000"", ""7-1"": ""先A后C再B"", ""7-2"": ""先D后E"", ""7-3"": ""处理完D后返回C，处理完C后返回B""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314033_Q2,20.0,16.7,16.7,16.7,-3.3,3.3,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""00001"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A级先于B、C级"", ""7-2"": ""D级先于E级"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314133_Q2,20.0,16.7,16.7,16.7,-3.3,3.3,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A > C > E > B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A响应 → C响应 → B响应"", ""7-2"": ""D响应 → E响应"", ""7-3"": ""处理完D级中断后返回C级，处理完C级中断后返回A级""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314081_Q2,20.0,17.0,17.0,17.0,-3.0,3.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""中断处理优先级为 A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01001"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先处理，然后C，然后B"", ""7-2"": ""D先处理，然后E"", ""7-3"": ""处理完D级中断后返回到C级中断处理，处理完C级中断后返回到用户程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314057_Q2,12.0,9.3,9.3,9.3,-2.7,2.7,BND,0.0,0,reject_raise,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""无"", ""3"": ""A,C,D,E"", ""4"": ""A,D"", ""5"": ""A"", ""6"": ""A,C,D"", ""7-1"": ""同时出现A,B,C会先A,再C,最后B"", ""7-2"": ""先C,D,再E"", ""7-3"": ""原散""}",severe_underestimate;bnd_no_effect;gate_reject_raise
Q2,E12314165_Q2,18.0,15.3,15.3,15.3,-2.7,2.7,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""00000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01000"", ""7-1"": ""先A，再有一个C，到D，再到C，接着到E，再到B"", ""7-2"": ""到D，再到C，接着到E"", ""7-3"": ""再到C，接着到E""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314181_Q2,18.0,15.5,15.5,15.5,-2.5,2.5,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""B→E→C→D→A"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级后返回C，处理完C级后返回用户程序""}",severe_underestimate;bnd_no_effect;gate_keep_minor_change
Q2,E12314077_Q2,20.0,17.7,17.7,17.7,-2.3,2.3,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D后返回C，处理完C后返回用户程序""}",severe_underestimate
Q2,E01914214_Q2,20.0,18.0,18.0,18.0,-2.0,2.0,POS,0.0,0,,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""1 1 1 1 1"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 1 0 1"", ""5"": ""0 1 1 1 1"", ""6"": ""0 1 0 0 1"", ""7-1"": ""A→D→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级后返回C，处理完C级后返回D""}",within_2
Q2,E12314025_Q2,20.0,18.0,18.0,18.0,-2.0,2.0,POS,0.0,0,,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""用户程序→A→C"", ""7-2"": ""D→E"", ""7-3"": ""D返回C，C返回用户程序""}",within_2
Q2,E12314161_Q2,12.0,10.0,10.0,10.0,-2.0,2.0,BND,0.0,0,reject_raise,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""BCDE"", ""3"": ""无"", ""4"": ""BE"", ""5"": ""BCDE"", ""6"": ""B"", ""7-1"": ""A→C→B"", ""7-2"": ""D→E"", ""7-3"": ""D→C，C→A""}",within_2;bnd_no_effect;gate_reject_raise
Q2,E12314177_Q2,20.0,18.0,18.0,18.0,-2.0,2.0,BND,0.0,0,keep_minor_change,model_avg,"{""1"": ""B＞E＞C→D＞A"", ""2"": ""1 1 1 1 1"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 1 0 1"", ""5"": ""0 1 1 1 1"", ""6"": ""0 1 0 0 1"", ""7-1"": ""先执行A"", ""7-2"": ""先执行D"", ""7-3"": ""处理完D级中断后的返回目标位置：执行C级中断；处理完C级中断后的返回目标位置：执行B""}",within_2;bnd_no_effect;gate_keep_minor_change
Q2,E12214171_Q2,20.0,18.7,18.7,18.7,-1.3,1.3,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先处理，然后C"", ""7-2"": ""D先处理，然后E"", ""7-3"": ""处理完D级后返回C级，处理完C级后返回用户程序""}",within_2
Q2,E12314097_Q2,15.0,16.3,16.3,16.3,1.3,1.3,BND,0.0,0,reject_raise,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""B.C.D.E"", ""3"": ""无"", ""4"": ""B.E"", ""5"": ""B.C.E"", ""6"": ""B"", ""7-1"": ""A→C→B"", ""7-2"": ""D→E"", ""7-3"": ""处理完D后返回C，处理完C后返回B""}",within_2;bnd_no_effect;gate_reject_raise
Q2,E12314173_Q2,20.0,18.7,18.7,18.7,-1.3,1.3,POS,0.0,0,,model_avg,"{""1"": ""ADC E B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A→C→B"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级中断后返回C级中断处理，处理完C级中断后返回用户程序""}",within_2
Q2,E12314061_Q2,20.0,19.0,19.0,19.0,-1.0,1.0,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A处理完→C处理完→B处理完"", ""7-2"": ""D处理完→E处理完"", ""7-3"": ""返回C；返回A""}",within_2
Q2,E12314169_Q2,18.0,19.0,19.0,19.0,1.0,1.0,POS,0.0,0,,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A级中断处理在B、C之前（A先于C）"", ""7-2"": ""D级中断处理在E级之前"", ""7-3"": ""处理完D级中断后返回C级中断，处理完C级中断后返回用户程序""}",within_2
Q2,E12314201_Q2,20.0,19.0,19.0,19.0,-1.0,1.0,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先于B、C，顺序为A→C→B"", ""7-2"": ""D先于E，顺序为D→E"", ""7-3"": ""处理完D后返回C的中断处理，处理完C后返回用户程序""}",within_2
Q2,E12214006_Q2,18.0,18.7,18.7,18.7,0.7,0.7,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A级中断处理完→D级中断处理完→C级中断处理完"", ""7-2"": ""D级中断处理完→E级中断处理完"", ""7-3"": ""处理完D级中断后返回C级中断；处理完C级中断后返回A级中断""}",within_2
Q2,E12314021_Q2,18.0,17.3,17.3,17.3,-0.7,0.7,BND,0.0,0,reject_lower,model_avg,"{""1"": ""A→D→C→E→B"", ""2"": ""11111"", ""3"": ""01100"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A→D→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D级中断后返回C级中断处理，处理完C级中断后返回用户程序""}",within_2;bnd_no_effect;gate_reject_lower
Q2,E12214075_Q2,20.0,19.7,19.7,19.7,-0.3,0.3,POS,0.0,0,,model_avg,"{""1"": ""A→D→C→E→B"", ""2"": ""1 1 1 1 1"", ""3"": ""0 1 0 0 0"", ""4"": ""0 1 1 0 1"", ""5"": ""0 1 1 1 1"", ""6"": ""0 1 0 0 1"", ""7-1"": ""A"", ""7-2"": ""D"", ""7-3"": ""C""}",within_2
Q2,E12314073_Q2,19.0,18.7,18.7,18.7,-0.3,0.3,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先处理，然后C"", ""7-2"": ""D先处理，然后E"", ""7-3"": ""处理完D级后返回C，处理完C级后返回E""}",within_2
Q2,E12314137_Q2,18.0,18.3,18.3,18.3,0.3,0.3,POS,0.0,0,,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01001 01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先于B、C"", ""7-2"": ""D先于E"", ""7-3"": ""处理完D级中断后返回C级中断，处理完C级中断后返回用户程序""}",within_2
Q2,E12214091_Q2,20.0,20.0,20.0,20.0,0.0,0.0,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""ABC 同时 完成请求 A"", ""7-2"": ""DE"", ""7-3"": ""处理完D级中断后返回C级，处理完C级中断后返回B级""}",within_2
Q2,E12314005_Q2,20.0,20.0,20.0,20.0,0.0,0.0,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A级中断先于B、C级中断处理"", ""7-2"": ""D级中断先于E级中断处理"", ""7-3"": ""处理完D级中断后返回C级中断处理，处理完C级中断后返回B级中断处理""}",within_2
Q2,E12314053_Q2,20.0,20.0,20.0,20.0,0.0,0.0,POS,0.0,0,,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01101"", ""5"": ""01111"", ""6"": ""01001"", ""7-1"": ""A先于C，C先于B"", ""7-2"": ""D先于E"", ""7-3"": ""D处理后返回C，C处理后返回B""}",within_2
