question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_first_diff,model_avg_diff,selected_baseline_diff,final_calibrated_diff,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,selected_change,final_change_vs_avg,route,boundary_action,baseline_policy,baseline_score_source,task_type,upper_consensus_eligible,result_correctness_signal,method_evidence_signal,lenient_undercredit_signal,unsupported_high_score_risk,rule_hits
Q6,E12314141,14.0,11.0,11.7,14.0,14.0,-3.0,-2.3,0.0,0.0,2.3,0.0,2.3,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.8,0.8,0.1925,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314153,8.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0247,0.0,
Q6,E12314157,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0252,0.0,
Q6,E12314161,8.0,3.0,3.3,3.3,3.3,-5.0,-4.7,-4.7,-4.7,0.0,0.0,0.0,same,same,NEG,,model_avg,model_avg_score,calculation_derivation,True,0.15,0.15,0.0127,0.0,
Q6,E12314165,12.0,5.0,6.0,6.0,6.0,-7.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0312,0.0,
Q6,E12314173,8.0,3.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,same,same,NEG,,model_avg,model_avg_score,calculation_derivation,True,0.15,0.15,0.0137,0.0,
Q6,E12314169,10.0,5.0,5.7,5.7,5.7,-5.0,-4.3,-4.3,-4.3,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0321,0.0,
Q6,E12314181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.0,0.0,0.0,0.0,
Q6,E12314177,0.0,3.0,3.3,3.3,3.3,3.0,3.3,3.3,3.3,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.15,0.15,0.0134,0.0,
Q6,E12314185,14.0,8.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.4,0.4,0.0669,0.0,stable_undercredit_review
Q6,E12314193,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.0,0.0,0.0,0.0,
Q6,E12314189,12.0,8.0,9.3,12.0,12.0,-4.0,-2.7,0.0,0.0,2.7,0.0,2.7,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.4,0.4,0.0573,0.0,stable_undercredit_review
Q6,E12314201,18.0,14.0,14.0,14.0,14.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.7,0.7,0.0774,0.147,
Q6,E12314205,10.0,7.0,7.3,7.3,7.3,-3.0,-2.7,-2.7,-2.7,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.35,0.35,0.054,0.0,
Q6,E12314209,6.0,4.0,4.3,4.3,4.3,-2.0,-1.7,-1.7,-1.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0247,0.0,
Q6,E12314213,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0252,0.0,
Q6,E12314217,12.0,6.0,6.0,6.0,6.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.046,0.0,
Q6,E12314221,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0263,0.0,
Q6,WA2324049,8.0,4.0,5.2,5.2,5.2,-4.0,-2.8,-2.8,-2.8,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.55,0.55,0.1842,0.0,lenient_undercredit_review;stable_undercredit_review
Q7,E01914115,8.0,8.0,8.7,8.7,8.7,0.0,0.7,0.7,0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E01914290,8.0,5.5,5.2,5.2,5.2,-2.5,-2.8,-2.8,-2.8,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.1124,0.0,lenient_undercredit_review;stable_undercredit_review;direct_only_high_score_risk
Q7,E01914214,2.0,4.5,4.2,4.2,4.2,2.5,2.2,2.2,2.2,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,0.0,0.2,0.0,0.0,
Q7,E12214006,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214023,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214062,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214075,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214091,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214098,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E02014181,2.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0759,0.0,stable_undercredit_review
Q7,E12214107,10.0,8.0,8.2,8.2,8.2,-2.0,-1.8,-1.8,-1.8,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0098,0.164,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12214171,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314005,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12214212,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0164,0.16,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12314013,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314009,8.0,10.0,9.7,9.7,9.7,2.0,1.7,1.7,1.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E12314017,10.0,11.0,10.3,10.0,10.0,1.0,0.3,0.0,0.0,0.3,0.0,0.3,improved,improved,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E12314021,10.0,10.0,9.3,9.3,9.3,0.0,-0.7,-0.7,-0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E12314025,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314029,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314033,10.0,9.5,9.7,9.7,9.7,-0.5,-0.3,-0.3,-0.3,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314037,8.0,7.0,6.8,6.8,6.8,-1.0,-1.2,-1.2,-1.2,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.193,0.0,lenient_undercredit_review
Q7,E12314041,8.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314049,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314045,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314053,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314057,8.0,8.0,8.7,8.7,8.7,0.0,0.7,0.7,0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E12314061,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314065,7.0,4.0,3.3,3.3,3.3,-3.0,-3.7,-3.7,-3.7,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,0.25,0.4,0.059,0.0,
Q7,E12314069,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314073,10.0,10.0,9.9,9.9,9.9,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314077,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314085,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314081,10.0,10.0,9.8,9.8,9.8,0.0,-0.2,-0.2,-0.2,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314089,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.0,0.0,0.0,0.0,
Q7,E12314093,10.0,9.0,8.7,8.7,8.7,-1.0,-1.3,-1.3,-1.3,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,high_score_safety_review
Q7,E12314101,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,0.0,0.0,0.0,0.0,
Q7,E12314097,5.0,7.5,6.5,6.5,6.0,2.5,1.5,1.5,1.0,0.0,0.5,0.5,same,improved,BND,small_lower,model_avg,model_avg_score,calculation_derivation,False,0.5,0.4,0.0526,0.0,direct_only_high_score_risk
Q7,E12314105,8.0,7.4,8.1,8.1,7.1,-0.6,0.1,0.1,-0.9,0.0,-0.8,-0.8,same,worsened,BND,large_lower,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0131,0.162,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12314109,8.0,7.0,6.3,6.3,6.3,-1.0,-1.7,-1.7,-1.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.2498,0.0,lenient_undercredit_review
Q7,E12314117,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314121,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0164,0.16,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12314125,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0164,0.16,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12314113,4.0,5.5,6.2,6.2,5.5,1.5,2.2,2.2,1.5,0.0,0.7,0.7,same,improved,BND,small_lower,model_avg,model_avg_score,calculation_derivation,False,0.25,0.2,0.0315,0.0,direct_only_high_score_risk
Q7,E12314129,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.25,0.2,0.0354,0.0,direct_only_high_score_risk
Q7,E12314133,0.0,9.0,8.7,8.7,8.7,9.0,8.7,8.7,8.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,0.75,0.8,0.0,0.1305,high_score_safety_review
Q7,E12314137,10.0,10.0,9.7,9.7,9.7,0.0,-0.3,-0.3,-0.3,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314141,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
