question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action
Q2,E12314037,18.0,10.0,10.3,10.3,10.3,-8.0,-7.7,-7.7,-7.7,7.7,7.7,0.3,0.0,0.0,0.0,0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q2,E12314041,18.0,2.0,2.0,2.0,2.0,-16.0,-16.0,-16.0,-16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314045,15.0,6.0,6.7,6.7,6.7,-9.0,-8.3,-8.3,-8.3,8.3,8.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.9428,0.33,,,,,,reject_lower
Q2,E12314049,20.0,15.0,15.0,15.0,15.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314053,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314057,12.0,8.0,9.3,9.3,9.3,-4.0,-2.7,-2.7,-2.7,2.7,2.7,1.3,0.0,0.0,0.0,1.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,1.8856,0.0,,,,,,reject_raise
Q2,E12314061,20.0,19.0,19.0,19.0,19.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314065,20.0,12.0,12.7,12.7,12.7,-8.0,-7.3,-7.3,-7.3,7.3,7.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.9428,0.11,,,,,,reject_lower
Q2,E12314069,18.0,13.5,13.2,13.2,13.2,-4.5,-4.8,-4.8,-4.8,4.8,4.8,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.2357,0.0,,,,,,keep_minor_change
Q2,E12314073,19.0,18.0,18.7,18.7,18.7,-1.0,-0.3,-0.3,-0.3,0.3,0.3,0.7,0.0,0.0,0.0,0.7,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12314077,20.0,18.0,17.7,17.7,17.7,-2.0,-2.3,-2.3,-2.3,2.3,2.3,-0.3,0.0,0.0,0.0,-0.3,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12314081,20.0,17.0,17.0,17.0,17.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314085,20.0,12.0,12.0,12.0,12.0,-8.0,-8.0,-8.0,-8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q2,E12314089,15.0,0.0,0.0,0.0,0.0,-15.0,-15.0,-15.0,-15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.89,,,,,,keep_minor_change
Q2,E12314093,20.0,11.0,10.0,10.0,10.0,-9.0,-10.0,-10.0,-10.0,10.0,10.0,-1.0,0.0,0.0,0.0,-1.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.8165,0.0,,,,,,reject_lower
Q2,E12314097,15.0,20.0,16.3,16.3,16.3,5.0,1.3,1.3,1.3,1.3,1.3,3.7,0.0,0.0,0.0,3.7,BND,False,False,False,calculation_derivation,True,False,model_avg,model_avg_score,2.6247,0.0,,,,,,reject_raise
Q2,E12314101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,1.0,,,,,,keep_minor_change
Q2,E12314109,18.0,13.0,13.0,13.0,13.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314113,15.0,9.0,10.0,10.0,10.0,-6.0,-5.0,-5.0,-5.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,1.4142,0.11,,,,,,reject_lower
Q2,E12314117,15.0,10.0,8.3,8.3,9.7,-5.0,-6.7,-6.7,-5.3,6.7,5.3,-1.7,0.0,1.4,1.4,-0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,2.357,0.33,,,,,,small_raise
Q2,E12314125,15.0,2.0,2.0,2.0,2.0,-13.0,-13.0,-13.0,-13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.89,,,,,,keep_minor_change
Q2,E12314129,15.0,2.0,2.0,2.0,2.0,-13.0,-13.0,-13.0,-13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.89,,,,,,keep_minor_change
Q2,E12314133,20.0,17.0,16.7,16.7,16.7,-3.0,-3.3,-3.3,-3.3,3.3,3.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q2,E12314137,18.0,18.0,18.3,18.3,18.3,0.0,0.3,0.3,0.3,0.3,0.3,-0.3,0.0,0.0,0.0,-0.3,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12314141,15.0,9.0,8.3,8.3,8.3,-6.0,-6.7,-6.7,-6.7,6.7,6.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.9428,0.33,,,,,,keep_minor_change
Q2,E12314145,18.0,10.0,10.0,10.0,10.0,-8.0,-8.0,-8.0,-8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314149,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314157,18.0,8.0,7.7,7.7,7.7,-10.0,-10.3,-10.3,-10.3,10.3,10.3,-0.3,0.0,0.0,0.0,-0.3,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12314161,12.0,8.0,10.0,10.0,10.0,-4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,BND,False,False,False,calculation_derivation,True,False,model_avg,model_avg_score,2.1602,0.0,,,,,,reject_raise
Q2,E12314165,18.0,15.0,15.3,15.3,15.3,-3.0,-2.7,-2.7,-2.7,2.7,2.7,0.3,0.0,0.0,0.0,0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q2,E12314169,18.0,19.0,19.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314173,20.0,18.0,18.7,18.7,18.7,-2.0,-1.3,-1.3,-1.3,1.3,1.3,0.7,0.0,0.0,0.0,0.7,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12314177,20.0,18.0,18.0,18.0,18.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314181,18.0,15.0,15.5,15.5,15.5,-3.0,-2.5,-2.5,-2.5,2.5,2.5,0.5,0.0,0.0,0.0,0.5,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4082,0.0,,,,,,keep_minor_change
Q2,E12314185,20.0,10.0,10.0,10.0,11.4,-10.0,-10.0,-10.0,-8.6,10.0,8.6,0.0,0.0,1.4,1.4,1.4,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.33,,,,,,auto_small_raise
Q2,E12314189,15.0,20.0,20.0,20.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314193,15.0,9.0,8.7,8.7,8.7,-6.0,-6.3,-6.3,-6.3,6.3,6.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q2,E12314201,20.0,19.0,19.0,19.0,19.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314205,20.0,12.0,11.3,11.3,12.3,-8.0,-8.7,-8.7,-7.7,8.7,7.7,-0.7,0.0,1.0,1.0,0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.33,,,,,,medium_raise
Q2,E12314209,20.0,16.0,16.0,16.0,16.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314213,15.0,10.0,9.7,9.7,9.7,-5.0,-5.3,-5.3,-5.3,5.3,5.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
Q2,E12314217,20.0,8.0,8.0,8.0,8.0,-12.0,-12.0,-12.0,-12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q2,E12314221,15.0,2.0,2.0,2.0,2.0,-13.0,-13.0,-13.0,-13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.67,,,,,,keep_minor_change
Q2,WA2324049,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q3,E01914115,8.0,2.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E01914214,6.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.5,,,,,,keep_minor_change
Q3,E01914290,7.0,5.0,5.0,5.0,5.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q3,E12214023,8.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,,,,,,keep_minor_change
Q3,E12214062,8.0,5.0,4.3,4.3,4.3,-3.0,-3.7,-3.7,-3.7,3.7,3.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.5,,,,,,reject_lower
Q3,E12214075,9.0,5.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12214091,8.0,3.0,2.3,2.3,2.3,-5.0,-5.7,-5.7,-5.7,5.7,5.7,-0.7,0.0,0.0,0.0,-0.7,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.33,,,,,,keep_minor_change
Q3,E12214098,9.0,2.0,2.3,2.3,2.3,-7.0,-6.7,-6.7,-6.7,6.7,6.7,0.3,0.0,0.0,0.0,0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.5,,,,,,reject_raise
Q3,E12214107,9.0,4.0,3.7,3.7,3.7,-5.0,-5.3,-5.3,-5.3,5.3,5.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.33,,,,,,keep_minor_change
Q3,E12214171,8.0,2.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12214212,6.0,5.0,4.3,5.0,5.7,-1.0,-1.7,-1.0,-0.3,1.0,0.3,-0.7,0.7,0.7,1.4,0.7,BND,False,False,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.9428,0.0,,,,,,auto_small_raise
Q3,E12314005,10.0,6.0,6.0,6.0,6.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314009,7.0,1.0,1.0,1.0,1.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314013,9.0,5.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q3,E12314021,7.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.17,,,,,,keep_minor_change
Q3,E12314025,9.0,5.0,4.3,5.0,5.0,-4.0,-4.7,-4.0,-4.0,4.0,4.0,-0.7,0.7,0.0,0.7,0.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.9428,0.33,,,,,,keep_minor_change
Q3,E12314029,9.0,3.0,2.7,2.7,2.7,-6.0,-6.3,-6.3,-6.3,6.3,6.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.33,,,,,,reject_raise
Q3,E12314033,9.0,4.0,4.0,4.0,4.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314037,8.0,3.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314041,9.0,4.0,3.7,3.7,3.7,-5.0,-5.3,-5.3,-5.3,5.3,5.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.33,,,,,,reject_raise
Q3,E12314045,10.0,8.0,7.0,7.0,7.7,-2.0,-3.0,-3.0,-2.3,3.0,2.3,-1.0,0.0,0.7,0.7,-0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,1.4142,0.0,,,,,,small_raise
Q3,E12314049,9.0,5.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314053,9.0,4.0,4.0,4.0,4.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314061,9.0,5.0,5.3,6.0,6.0,-4.0,-3.7,-3.0,-3.0,3.0,3.0,0.3,0.7,0.0,0.7,1.0,BND,True,True,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.4714,0.0,,,,,,reject_raise
Q3,E12314065,7.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314069,3.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q3,E12314073,6.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314077,9.0,5.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.5,,,,,,keep_minor_change
Q3,E12314081,7.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314085,8.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314089,9.0,4.0,4.0,4.0,4.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314093,8.0,5.0,5.0,5.0,5.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q3,E12314097,7.0,3.0,3.0,3.0,3.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314101,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,,,,,,keep_minor_change
Q3,E12314105,9.0,4.0,4.0,4.0,4.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314113,6.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314117,7.0,3.0,2.7,2.7,2.7,-4.0,-4.3,-4.3,-4.3,4.3,4.3,-0.3,0.0,0.0,0.0,-0.3,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4714,0.33,,,,,,reject_raise
Q3,E12314121,8.0,3.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314125,7.0,1.0,1.0,1.0,1.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q3,E12314129,5.0,2.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
