qid,student_id,teacher,single_first_score,model_avg_score,final_3wd_score,single_diff,avg_diff,final_diff,single_abs_error,avg_abs_error,final_abs_error,avg_gain_vs_single,final_gain_vs_avg,final_gain_vs_single,route,gate_action,gate_accepted,a3_reason,hard_neg_reasons,mu,risk,blank_rate,std_dev,score_spread,fatal_points_ratio,result_correctness_signal,result_strong_signal,method_evidence_signal,lenient_undercredit_signal,unsupported_high_score_risk,bare_answer_risk,rules,boundary_gate_reason,diagnosis
Q6,E12214098_Q6,9.0,7.0,7.0,7.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.84,0.16,0.0,0.0,0.0,0.65,0.35,0.35,0.35,0.0557,0.0,0.2275,,,3wd_unchanged
Q6,E12214212_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.85,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3wd_unchanged
Q6,E12214171_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314005_Q6,20.0,19.0,19.0,19.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.99,0.01,0.0,0.0,0.0,0.05,0.95,0.95,0.95,0.0,0.0475,0.0475,,,3wd_unchanged
Q6,E12314009_Q6,4.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.828182,0.171818,0.55,0.0,0.0,0.45,0.1,0.1,0.1,0.0074,0.0,0.09,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314013_Q6,4.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.822727,0.177273,0.18,0.0,0.0,0.6,0.15,0.15,0.15,0.0146,0.0,0.1275,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314017_Q6,10.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,,hard_neg:semantic_risk_too_high,semantic_risk_too_high,0.82,0.18,0.0,0.0,0.0,0.75,0.25,0.25,0.25,0.0325,0.0,0.1875,,,serious_error;under_estimation;3wd_unchanged;neg_too_low;semantic_fatal_related_low
Q6,E12314021_Q6,20.0,17.0,17.0,17.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.97,0.03,0.0,0.0,0.0,0.15,0.85,0.85,0.85,0.0,0.1275,0.1275,,,serious_error;under_estimation;3wd_unchanged;pos_missed_error;lenient_credit_still_missing
Q6,E12314029_Q6,4.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,NEG,NO_GATE,,hard_neg:semantic_risk_too_high,semantic_risk_too_high,0.796364,0.203636,0.09,0.0,0.0,0.8,0.1,0.1,0.1,0.0064,0.0,0.09,,,3wd_unchanged
Q6,E12314025_Q6,14.0,8.0,8.3,8.3,-6.0,-5.7,-5.7,6.0,5.7,5.7,0.3,0.0,0.3,BND,reject_raise,False,high_confidence_stable_undercredit_review,,0.855328,0.144672,0.09,0.4714,1.0,0.45,0.4,0.4,0.4,0.0676,0.0,0.24,stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314033_Q6,18.0,7.0,8.3,8.3,-11.0,-9.7,-9.7,11.0,9.7,9.7,1.3,0.0,1.3,BND,reject_raise,False,high_confidence_lenient_undercredit_review,,0.851262,0.148738,0.0,0.9428,2.0,0.4833,0.6,0.35,0.6,0.1584,0.0,0.24,lenient_undercredit_review|stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314037_Q6,20.0,10.0,11.0,11.0,-10.0,-9.0,-9.0,10.0,9.0,9.0,1.0,0.0,1.0,BND,reject_raise,False,high_confidence_stable_undercredit_review,,0.86356,0.13644,0.0,1.4142,3.0,0.3667,0.5,0.5,0.5,0.0728,0.0,0.25,stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314041_Q6,14.0,9.0,8.7,8.7,-5.0,-5.3,-5.3,5.0,5.3,5.3,-0.3,0.0,-0.3,BND,reject_raise,False,high_confidence_lenient_undercredit_review,,0.852298,0.147702,0.0,0.4714,1.0,0.5333,0.5,0.4,0.5,0.1007,0.0,0.25,lenient_undercredit_review|stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low;semantic_fatal_related_low
Q6,E12314045_Q6,10.0,5.0,5.7,5.7,-5.0,-4.3,-4.3,5.0,4.3,4.3,0.7,0.0,0.7,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.824293,0.175707,0.09,0.9428,2.0,0.55,0.25,0.25,0.25,0.0321,0.0,0.1875,,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314049_Q6,14.0,8.0,9.0,9.0,-6.0,-5.0,-5.0,6.0,5.0,5.0,1.0,0.0,1.0,BND,reject_raise,False,high_confidence_stable_undercredit_review,,0.84356,0.15644,0.0,1.4142,3.0,0.4667,0.4,0.4,0.4,0.0595,0.0,0.24,stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314053_Q6,14.0,9.0,9.0,9.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,0.892727,0.107273,0.18,0.0,0.0,0.25,0.55,0.4,0.55,0.1299,0.0,0.2475,lenient_undercredit_review|stable_undercredit_review,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314057_Q6,5.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.846364,0.153636,0.09,0.0,0.0,0.55,0.35,0.35,0.35,0.0582,0.0,0.2275,,,3wd_unchanged
Q6,E12314065_Q6,14.0,8.0,8.7,8.7,-6.0,-5.3,-5.3,6.0,5.3,5.3,0.7,0.0,0.7,BND,reject_raise,False,high_confidence_lenient_undercredit_review,,0.858661,0.141339,0.09,0.4714,1.0,0.4333,0.5,0.4,0.5,0.105,0.0,0.25,lenient_undercredit_review|stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314069_Q6,19.0,17.0,17.3,17.3,-2.0,-1.7,-1.7,2.0,1.7,1.7,0.3,0.0,0.3,POS,NO_GATE,,confidence_ge_alpha,,0.968965,0.031036,0.0,0.4714,1.0,0.1,0.85,0.85,0.85,0.0,0.1298,0.1275,,,3wd_unchanged
Q6,E12314061_Q6,14.0,13.0,11.7,12.7,-1.0,-2.3,-1.3,1.0,2.3,1.3,-1.3,1.0,-0.3,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,0.881479,0.118521,0.0,1.2472,3.0,0.2833,0.75,0.5,0.75,0.16,0.0,0.1875,lenient_undercredit_review|stable_undercredit_review,supported_lenient_undercredit_evidence,3wd_improved;bnd_changed
Q6,E12314077_Q6,14.0,10.0,11.0,11.0,-4.0,-3.0,-3.0,4.0,3.0,3.0,1.0,0.0,1.0,BND,reject_raise,False,high_confidence_stable_undercredit_review,,0.86356,0.13644,0.0,1.4142,3.0,0.3667,0.5,0.5,0.5,0.0728,0.0,0.25,stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low
Q6,E12314073_Q6,8.0,6.0,7.3,7.3,-2.0,-0.7,-0.7,2.0,0.7,0.7,1.3,0.0,1.3,POS,NO_GATE,,confidence_ge_alpha,,0.840873,0.159127,0.18,1.2472,3.0,0.35,0.3,0.3,0.3,0.0433,0.0,0.21,,,3wd_unchanged
Q6,E12314085_Q6,9.0,5.0,5.0,5.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.826364,0.173636,0.09,0.0,0.0,0.65,0.25,0.25,0.25,0.0341,0.0,0.1875,,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314081_Q6,14.0,11.0,11.0,11.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,0.93,0.07,0.0,0.0,0.0,0.2,0.8,0.4,0.8,0.2101,0.0,0.16,lenient_undercredit_review|stable_undercredit_review,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low;lenient_credit_still_missing
Q6,E12314093_Q6,4.0,4.0,4.3,4.3,0.0,0.3,0.3,0.0,0.3,0.3,-0.3,0.0,-0.3,POS,NO_GATE,,confidence_ge_alpha,,0.843813,0.156187,0.55,0.4714,1.0,0.3167,0.2,0.2,0.2,0.0262,0.0,0.16,,,3wd_unchanged
Q6,E12314097_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.85,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3wd_unchanged
Q6,E12314089_Q6,6.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.826364,0.173636,0.09,0.0,0.0,0.65,0.25,0.25,0.25,0.0341,0.0,0.1875,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314101_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.808182,0.191818,0.55,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314109_Q6,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.781818,0.218182,0.45,0.0,0.0,0.6,0.1,0.1,0.1,0.007,0.0,0.09,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314105_Q6,12.0,6.0,8.0,9.4,-6.0,-4.0,-2.6,6.0,4.0,2.6,2.0,1.4,3.4,BND,small_raise,True,high_confidence_lenient_undercredit_review,,0.85659,0.14341,0.09,1.4142,3.0,0.3333,0.7,0.3,0.7,0.2413,0.0,0.21,lenient_undercredit_review|stable_undercredit_review,supported_lenient_undercredit_evidence,serious_error;under_estimation;3wd_improved;bnd_changed;lenient_credit_still_missing
Q6,E12314113_Q6,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.849091,0.150909,0.27,0.0,0.0,0.4,0.2,0.2,0.2,0.0263,0.0,0.16,,,3wd_unchanged
Q6,E12314117_Q6,8.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.781818,0.218182,0.45,0.0,0.0,0.6,0.1,0.1,0.1,0.007,0.0,0.09,,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314125_Q6,2.0,7.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,1.0,BND,reject_raise,False,high_confidence_lenient_undercredit_review,,0.83659,0.16341,0.09,1.4142,3.0,0.4333,0.6,0.2,0.6,0.2085,0.0,0.24,lenient_undercredit_review|stable_undercredit_review,raise_without_sufficient_undercredit_evidence,serious_error;over_estimation;3wd_unchanged;bnd_no_change
Q6,E12314129_Q6,11.0,6.0,6.0,6.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.869091,0.130909,0.27,0.0,0.0,0.3,0.3,0.3,0.3,0.0521,0.0,0.21,,,serious_error;under_estimation;3wd_unchanged;pos_missed_error
Q6,E12314133_Q6,2.0,2.0,2.3,2.3,0.0,0.3,0.3,0.0,0.3,0.3,-0.3,0.0,-0.3,POS,NO_GATE,,confidence_ge_alpha,,0.84351,0.15649,0.64,0.4714,1.0,0.25,0.1,0.1,0.1,0.008,0.0,0.09,,,3wd_unchanged
Q6,E12314121_Q6,10.0,3.0,7.0,7.0,-7.0,-3.0,-3.0,7.0,3.0,3.0,4.0,0.0,4.0,BND,reject_lower,False,beta_lt_confidence_lt_alpha,,0.773787,0.226213,0.0,2.8284,6.0,0.65,0.45,0.45,0.45,0.0962,0.0,0.2475,lenient_undercredit_review|stable_undercredit_review,lower_without_sufficient_unsupported_high_score_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314137_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314141_Q6,14.0,11.0,10.3,11.3,-3.0,-3.7,-2.7,3.0,3.7,2.7,-0.7,1.0,0.3,BND,small_raise,True,high_confidence_lenient_undercredit_review,,0.911995,0.088005,0.09,0.4714,1.0,0.1667,0.7,0.4,0.7,0.1796,0.0,0.21,lenient_undercredit_review|stable_undercredit_review,supported_lenient_undercredit_evidence,serious_error;under_estimation;3wd_improved;bnd_changed;lenient_credit_still_missing
Q6,E12314149_Q6,14.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_stable_undercredit_review,,0.856364,0.143636,0.09,0.0,0.0,0.5,0.4,0.4,0.4,0.0699,0.0,0.24,stable_undercredit_review,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low;semantic_fatal_related_low
Q6,E12314153_Q6,8.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.805455,0.194545,0.36,0.0,0.0,0.55,0.2,0.2,0.2,0.0247,0.0,0.16,,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314145_Q6,1.0,3.0,3.3,3.3,2.0,2.3,2.3,2.0,2.3,2.3,-0.3,0.0,-0.3,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.801995,0.198005,0.09,0.4714,1.0,0.7167,0.15,0.15,0.15,0.0134,0.0,0.1275,,raise_without_sufficient_undercredit_evidence,serious_error;over_estimation;3wd_unchanged;bnd_no_change
Q6,E12314161_Q6,8.0,3.0,3.0,3.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,,hard_neg:semantic_risk_too_high,semantic_risk_too_high,0.8,0.2,0.0,0.0,0.0,0.85,0.15,0.15,0.15,0.013,0.0,0.1275,,,serious_error;under_estimation;3wd_unchanged;neg_too_low;semantic_fatal_related_low
Q6,E12314157_Q6,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314165_Q6,12.0,5.0,6.3,6.3,-7.0,-5.7,-5.7,7.0,5.7,5.7,1.3,0.0,1.3,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.815555,0.184445,0.09,1.8856,4.0,0.4833,0.25,0.25,0.25,0.0304,0.0,0.1875,,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change
Q6,E12314169_Q6,10.0,5.0,6.0,6.0,-5.0,-4.0,-4.0,5.0,4.0,4.0,1.0,0.0,1.0,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.819924,0.180076,0.09,1.4142,3.0,0.5167,0.25,0.25,0.25,0.0312,0.0,0.1875,,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314173_Q6,8.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,NEG,NO_GATE,,hard_neg:semantic_risk_too_high,semantic_risk_too_high,0.796364,0.203636,0.09,0.0,0.0,0.8,0.1,0.1,0.1,0.0064,0.0,0.09,,,serious_error;under_estimation;3wd_unchanged;neg_too_low;semantic_fatal_related_low
Q6,E12314177_Q6,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.826364,0.173636,0.09,0.0,0.0,0.65,0.25,0.25,0.25,0.0341,0.0,0.1875,,minor_candidate_delta,serious_error;over_estimation;3wd_unchanged;bnd_no_change
Q6,E12314181_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.824545,0.175455,0.64,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314185_Q6,14.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_stable_undercredit_review,,0.85,0.15,0.0,0.0,0.0,0.6,0.4,0.4,0.4,0.0669,0.0,0.24,stable_undercredit_review,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;teacher_high_model_low;semantic_fatal_related_low
Q6,E12314189_Q6,12.0,8.0,8.0,8.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,False,high_confidence_stable_undercredit_review,,0.882727,0.117273,0.18,0.0,0.0,0.3,0.4,0.4,0.4,0.0758,0.0,0.24,stable_undercredit_review,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change
Q6,E12314193_Q6,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.761818,0.238182,0.45,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314201_Q6,18.0,14.0,14.0,14.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.91,0.09,0.0,0.0,0.0,0.3,0.7,0.7,0.7,0.0774,0.147,0.21,,,serious_error;under_estimation;3wd_unchanged;pos_missed_error;lenient_credit_still_missing
Q6,E12314205_Q6,10.0,7.0,7.7,7.7,-3.0,-2.3,-2.3,3.0,2.3,2.3,0.7,0.0,0.7,POS,NO_GATE,,confidence_ge_alpha,,0.834596,0.165404,0.0,0.9428,2.0,0.5667,0.35,0.35,0.35,0.0518,0.0,0.2275,,,serious_error;under_estimation;3wd_unchanged;pos_missed_error;semantic_fatal_related_low
Q6,E12314209_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.805455,0.194545,0.36,0.0,0.0,0.55,0.2,0.2,0.2,0.0247,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314213_Q6,5.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.805455,0.194545,0.36,0.0,0.0,0.55,0.2,0.2,0.2,0.0247,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12314221_Q6,5.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.838182,0.161818,0.55,0.0,0.0,0.4,0.2,0.2,0.2,0.0263,0.0,0.16,,,3wd_unchanged
Q6,WA2324049_Q6,8.0,6.0,4.0,4.0,-2.0,-4.0,-4.0,2.0,4.0,4.0,-2.0,0.0,-2.0,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.799924,0.200076,0.09,1.4142,3.0,0.6167,0.15,0.15,0.15,0.0127,0.0,0.1275,,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12314217_Q6,12.0,5.0,6.0,6.0,-7.0,-6.0,-6.0,7.0,6.0,6.0,1.0,0.0,1.0,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.821907,0.178093,0.09,0.8165,2.0,0.5667,0.25,0.25,0.25,0.0312,0.0,0.1875,,raise_without_sufficient_undercredit_evidence,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q7,E01914214_Q7,2.0,4.0,3.8,3.8,2.0,1.8,1.8,2.0,1.8,1.8,0.2,0.0,0.2,POS,NO_GATE,,confidence_ge_alpha,,0.896758,0.103242,0.6,0.2828,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3wd_unchanged
Q7,E01914115_Q7,8.0,10.0,9.3,9.3,2.0,1.3,1.3,2.0,1.3,1.3,0.7,0.0,0.7,POS,NO_GATE,,confidence_ge_alpha,,0.977929,0.022071,0.0,0.4714,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,,,3wd_unchanged
Q7,E01914290_Q7,8.0,6.5,6.8,6.8,-1.5,-1.2,-1.2,1.5,1.2,1.2,0.3,0.0,0.3,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,0.938964,0.061035,0.0,0.2357,0.5,0.1,1.0,0.0,1.0,0.193,0.0,0.0,lenient_undercredit_review,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q7,E12214006_Q7,10.0,9.0,9.3,9.3,-1.0,-0.7,-0.7,1.0,0.7,0.7,0.3,0.0,0.3,POS,NO_GATE,,confidence_ge_alpha,,0.977929,0.022071,0.0,0.4714,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,,,3wd_unchanged
