"question_id","answer_id","review_priority","candidate_type","teacher_score","reference_score_key","reference_score","teacher_minus_reference","absolute_difference","candidate_threshold","max_score","model_avg_score","selected_baseline_score","three_way_core_score","final_calibrated_score","route","std_dev","extraction_quality","U_E","U_S","U_R","candidate_reasons","confounds","human_decision","corrected_score","review_note","raw_text","student_image"
"ISC_2","ANS_ISC_495","P1","unsafe_pos_review","4","selected_baseline_score","3.3","0.7","0.7","","","","3.3","","","POS","","","0.0","0.5","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_3","ANS_ISC_556","P1","unsafe_pos_review","4","selected_baseline_score","3.3","0.7","0.7","","","","3.3","","","POS","","","0.333333","0.0","0.333333","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_3","ANS_ISC_598","P1","unsafe_pos_review","4","selected_baseline_score","1.7","2.3","2.3","","","","1.7","","","POS","","","0.0","0.0","0.222222","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_6","ANS_ISC_104","P1","unsafe_pos_review","6","selected_baseline_score","3","3","3","","","","3","","","POS","","","0.5","0.0","0.666667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_6","ANS_ISC_112","P1","unsafe_pos_review","6","selected_baseline_score","1.5","4.5","4.5","","","","1.5","","","POS","","","0.5","0.0","0.5","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_6","ANS_ISC_99","P1","unsafe_pos_review","6","selected_baseline_score","1.5","4.5","4.5","","","","1.5","","","POS","","","0.5","0.0","0.5","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_9","ANS_ISC_369","P1","unsafe_pos_review","2","selected_baseline_score","0","2","2","","","","0","","","POS","","","0.0","0.0","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ML_1","ANS_ML_55","P1","unsafe_pos_review","2","selected_baseline_score","0","2","2","","","","0","","","POS","","","0.0","0.0","0.333333","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ML_4","ANS_ML_181","P1","unsafe_pos_review","6","selected_baseline_score","0","6","6","","","","0","","","POS","","","0.0","0.0","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"POC_3","ANS_POC_250","P1","unsafe_pos_review","2","selected_baseline_score","0","2","2","","","","0","","","POS","","","0.0","0.0","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"POC_5","ANS_POC_133","P1","unsafe_pos_review","5","selected_baseline_score","4.1","0.9","0.9","","","","4.1","","","POS","","","0.0","0.75","0.066667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"POC_5","ANS_POC_144","P1","unsafe_pos_review","5","selected_baseline_score","4.3","0.7","0.7","","","","4.3","","","POS","","","0.0","0.5","0.2","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
